building_id,income,annual_kwh,pre_fixed_bill,post_fixed_bill,pre_fixed_tou_bill,post_fixed_tou_bill,new_F0_WF0_ROE0_bill,new_F0_WF0_ROE1.5_bill,new_F0_WF1_ROE0_bill,new_F0_WF1_ROE1.5_bill,new_F25_WF0_ROE0_bill,new_F50_WF0_ROE0_bill,new_F50_WF0_ROE1.5_bill,new_F50_WF1_ROE0_bill,new_F50_WF1_ROE1.5_bill,new_F75_WF0_ROE0_bill,new_F75_WF1_ROE0_bill,new_F75_WF1_ROE1.5_bill
342272,medium,8262.921,3947.4294293199996,3767.2869935700005,4472.2152076600005,4234.54379282,4408.791355999946,4196.31110029997,3977.6688038000543,3765.446170699968,4111.218592600006,3813.4664052999956,3601.3776179999786,3382.4959524000533,3170.1112257999807,3516.0001631000137,3084.9131948000095,2872.5384624000208
129091,low,6816.429,3173.11632476,2864.3829315300004,3652.31278724,3286.4316596200006,3600.636018999991,3427.0945016000087,3248.531040099997,3075.2699332999887,3220.399780999972,2840.043040899995,2666.814480599988,2488.11129880001,2314.6480314999926,2459.8932841000174,2107.8473370999955,1934.4129934999826
423979,medium,9516.633000000002,4618.34297997,4357.414706310001,5087.498807389999,4769.337649329999,5032.321221,4789.819540599968,4540.273980700017,4298.087890300008,4646.100308499996,4259.673741499999,4017.583231199993,3767.832318599992,3525.3375589999746,3873.5485720000033,3381.5085543000023,3139.1166464999947
224714,low,2412.7340000000004,1025.7979874399998,975.61877398,1282.6856553299997,1200.6019426899998,1265.8665962000139,1204.8591678999887,1142.084273799995,1081.1744923999966,1217.5841915000003,1169.2581999999993,1108.3590583999903,1045.5394632999944,984.5501363999974,1121.0076340000048,997.2422987999892,936.2689316999954
238600,medium,7749.37,3629.83461112,3487.9359532999997,4160.04424117,3955.83592727,4102.438416000022,3904.7109954000125,3701.278802800033,3503.8086097000028,3848.4165632000017,3594.2193311999904,3396.8864192999977,3193.2111095999853,2995.5948392999935,3340.310772000034,2939.1945712000015,2741.572986499991
17201,low,6593.287,3011.00411424,2721.7925717900002,3517.19770509,3165.784653190001,3469.228515599965,3302.0288213000053,3129.9859729000536,2963.0671183000154,3107.6737469000086,2746.009090099998,2579.0963835999555,2406.9452589000157,2239.791091499998,2384.530492899974,2045.3350888999903,1878.2375228000053
315107,medium,4370.521000000001,1868.8153337600002,1938.96217637,2323.1940464000004,2336.8295420400004,2291.0527314000174,2180.6406846000023,2067.0245273000064,1956.782521800007,2294.557587300011,2297.9801956999945,2187.764065300001,2074.0658512000073,1963.6843838999876,2301.542538800004,2077.5451048999957,1967.1892398000023
371373,low,3223.4339999999997,1430.9612836899998,1331.9967754800002,1766.3383086799997,1631.77942618,1744.9070698000578,1660.7933358999708,1574.2685723000081,1490.240626099984,1628.5313961000309,1512.0609021000312,1428.1373600999887,1341.4577903999789,1257.4247672999886,1395.7313981000118,1225.1136256000086,1141.0502936000055
135520,high,5353.751,2347.5096297,2360.01790927,2874.11863242,2824.2835011399998,2837.747227000024,2700.970320000018,2560.2473011999728,2423.6917213999895,2763.5243060000016,2689.2046605000032,2552.677319700001,2411.8342376999985,2275.1188667999927,2615.0427569999974,2337.581028599994,2200.8959458000018
143188,low,7310.765,3438.67739789,3097.967306350001,3858.4806479099993,3460.7539791300005,3781.9120259999863,3599.675419899979,3412.1633868000044,3230.133655300007,3375.8957362999995,2969.7754763999965,2787.857749000012,2600.1608158000004,2417.9438616999946,2563.902399200002,2194.0924820999917,2011.9287719999938
133130,high,12622.383000000002,6281.318925810001,5820.148862610001,6780.03827122,6261.7108707,6684.1005183999805,6361.959774499915,6030.491505200015,5708.776510900022,6063.029876699963,5441.687693700001,5120.1540527999605,4788.340922000009,4466.34368069999,4820.789105600015,4167.250274800046,3845.273039000029
46108,medium,383.37,162.9935892,438.52483889999996,203.14879133999995,473.6123249,200.446731600008,190.7866227999935,180.846628800011,171.20074060000226,501.1892783999992,801.9243751999953,792.282066800004,782.333752600001,772.6767657999978,1102.6725320000055,1083.0746810000055,1073.4193126000002
448327,medium,1686.5170000000003,717.0395677199999,925.8627224900001,898.28299501,1084.80411809,885.8084493999828,843.1171372000258,799.1892142999874,756.5673422999741,1089.1071078999958,1292.375919299995,1249.7599592000063,1205.801493999998,1163.1232537999997,1495.6954524000078,1409.0885940999995,1366.4219123000044
161526,medium,6611.034,3062.66986968,2989.0628617800003,3518.3603282599997,3387.7282565200003,3463.377178999927,3296.466022900034,3124.7219190999567,2958.0744610000056,3300.2009040000094,3136.9095622999716,2970.2901467999764,2798.424919199976,2631.5507908999757,2973.816880000012,2635.1925908000167,2468.3745159000055
