ExternalReference,climatezone,dac,age,gender,income,education,race,ideology,born_us,employment,home_type,household_numpeople,home_own,home_area,home_age,charging_work,rangeanxiety,vehicle_next_used,vehicle_num,primary_heating_type,primary_cooling_type,hotwater_energy,hotwater_nextelec,heatpump_direct,therm_summer,therm_winter,ac_unit_number,kitchen_range_type,induction_direct,heating_cost_burden,elec_savemoney,elec_health,elec_safety,upfrontpayback,lowincome_sup,outage_impact,outage_generatorown,outage_generatorplan,elec_avail,hvac_avail,ccinsure_lost,solstor_wtp_dv,ev_wtp_pc,heatpump_wtp_pc,induction_dv,PV,PS,EV,HP,IC,yale_worried,cclive,ccpastmove,ccfuturemove,homevac,ccmove_where,charging_access,charging_5mile_r,charging_5mile_f,previous_heating_type,electrification,peer_EV,peer_IC,peer_HP,peer_PV,cost_combo_winter_final,cost_combo_summer_final,vehicle_comb_miles,ccinsure_both,pid_composite,future_EV_0,future_EV_low,future_EV_high,future_PV,future_PS_0,future_PS_low,future_PS_high,future_HP_0,future_HP_low,future_HP_high,future_IC_0,future_IC_low,future_IC_high,wt_ca,tractid
KAQOL,8,1,50,Female,162500,some college,Hispanic,3,1,0,SF,3,1,1750,Older,0,250,0,4,Elec,Room,Gas,0,0,7,1,3,Gas,0,4,2,4,2,0,1,1,1,2,4,4,0,NA,15000,15000,NA,0,0,0,0,0,2,1,1,1,1,0,none,0,0,Elec,No_prefer,none,none,none,none,112.5,250,10000,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7581972196895,06059001103
CZZPP,13,0,70,Female,137500,graduate,White,6,1,0,SF,2,1,3250,Older,0,350,1,2,Gas,Central,Gas,1,0,6,5,NA,Gas,0,3,4,3,1,1,0,2,0,2,3,3,0,NA,6000,10000,NA,1,0,0,0,0,4,4,1,3,1,0,potential,1,1,Gas,Half_elec,neighbor,peer,peer,peer,NA,NA,12500,1,1,0,0,0,1,NA,NA,NA,0,0,0,0,0,0,0.314125362138441,06029003810
NQABW,9,0,60,Female,45000,college,White,2,1,0,SF,2,1,1250,Older,0,350,1,4,None,None,Gas,0,0,7,1,NA,Gas,0,5,2,3,2,0,0,4,1,2,4,4,0,NA,20000,20000,NA,0,0,0,0,0,1,1,1,1,3,0,potential,0,0,None,Full_fossil,none,peer,none,none,162.5,75,5000,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401417463124378,06037430003
VXSLQ,6,0,70,Male,225000,graduate,White,2,0,0,SF,2,1,2250,Older,0,450,1,2,Gas,Central,Gas,0,0,3,5,NA,Elec,0,4,1,3,2,1,0,2,0,1,4,4,0,25000,10000,NA,1000,0,0,0,0,0,2,1,1,1,1,0,none,0,0,Gas,No_prefer,peer,none,none,none,300,250,7500,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445786384673568,06059062658
WBKZA,12,0,70,Male,95000,college,Asian,5,0,0,SF,2,1,1750,Older,0,450,1,1,Elec,Central,Gas,1,1,1,4,NA,Elec,0,5,3,4,3,0,0,2,0,2,2,2,0,NA,10000,8000,NA,0,0,0,1,1,4,4,3,4,1,1,potential,1,0,Gas,Full_elec,none,peer,none,none,150,37.5,8750,0,2,0,0,1,0,NA,NA,NA,1,1,1,1,1,1,2.05490529328915,06067008135
CATEG,14,1,60,Male,25000,some college,White,7,1,0,SF,1,1,750,Older,0,250,1,1,Gas,Room,Gas,0,1,5,2,NA,Gas,1,2,1,3,3,0,1,2,0,1,4,3,0,NA,8000,6000,NA,0,0,0,0,0,3,2,1,1,1,0,potential,1,1,Gas,No_prefer,none,none,none,none,150,250,3750,1,3,0,1,1,0,0,0,0,0,0,1,NA,NA,NA,0.574055237545902,06029005900
TXEIH,7,1,60,Female,25000,less than HS,Hispanic,4,0,0,SF,4,1,750,Older,0,150,0,4,None,None,Gas,0,0,7,1,NA,Gas,0,5,3,1,3,0,0,1,0,1,2,2,1,NA,0,0,NA,1,0,0,0,0,3,1,1,1,1,0,none,0,0,None,Full_elec,none,none,none,none,25,37.5,7500,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7196542691246,06073010004
KZPGG,2,0,50,Male,225000,graduate,White,6,1,1,SF,2,1,1750,Older,1,250,1,2,Gas,None,Gas,0,1,7,3,NA,Elec,1,4,3,3,2,1,0,2,1,2,3,3,0,5000,2000,NA,NA,1,0,1,0,1,4,2,1,4,1,1,own,1,1,Gas,Full_elec,neighbor,peer,peer,neighbor,250,75,15000,1,1,1,1,1,1,0,1,1,NA,NA,NA,1,1,1,0.777283608803883,06097153601
TGPTD,6,1,50,Female,95000,college,Non-hispanic other,6,1,1,SF,2,0,1250,Older,0,350,1,2,Gas,None,Other,NA,NA,7,2,NA,Gas,NA,3,3,3,2,1,0,2,0,2,3,3,0,NA,6000,NA,NA,0,0,0,0,0,4,2,1,1,2,0,none,0,1,Gas,Half_elec,peer,none,none,none,300,150,7500,0,4,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0.360638221854005,06083001101
YHRVO,4,0,40,Male,25000,college,Multirace,5,1,1,SF,2,1,1250,BrandNew,0,250,1,1,Gas,Central,Gas,0,1,6,2,NA,Gas,0,4,2,3,2,1,1,4,0,3,2,3,0,NA,15000,10000,NA,0,0,0,0,0,3,1,1,1,1,0,potential,0,0,Gas,Half_elec,neighbor,neighbor,peer,neighbor,150,75,11250,1,4,0,0,0,1,NA,NA,NA,0,0,0,0,0,0,1.60628240521855,06085506203
BDEOK,7,0,60,Female,25000,some college,Black,4,1,0,SF,5,1,1250,BrandNew,0,150,0,NA,Other,Central,Gas,0,0,1,1,NA,Gas,0,5,5,5,1,0,0,4,0,1,1,NA,0,NA,NA,NA,NA,0,0,0,0,0,1,1,1,4,1,0,none,0,0,Other,Half_elec,none,none,none,none,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70576817923116,06073003212
KUAEH,3,0,70,Male,225000,graduate,Hispanic,3,0,1,SF,3,1,3250,Older,1,450,0,4,Gas,None,Gas,0,1,7,1,NA,Gas,0,4,1,3,1,0,0,4,0,3,4,4,0,NA,20000,20000,NA,0,0,0,0,0,2,1,1,1,1,1,none,1,0,Gas,Full_fossil,peer,neighbor,peer,peer,350,350,7500,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79677301954907,06053011605
WPPYM,6,0,60,Male,137500,some college,White,4,1,1,SF,1,0,1250,Older,0,350,1,2,Gas,None,Gas,NA,NA,7,2,NA,Gas,NA,5,1,3,1,1,0,1,0,1,4,4,0,NA,10000,NA,NA,0,0,0,0,0,4,1,1,1,1,1,potential,0,0,Gas,Half_elec,peer,none,none,none,112.5,75,5000,0,4,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,2.03243165752752,06059099212
RKHLH,9,0,70,Female,15000,HS,White,1,1,0,SF,1,1,1250,Older,0,450,0,1,Gas,Central,Gas,0,1,7,4,NA,Gas,0,1,1,3,2,0,1,2,1,1,3,3,0,NA,20000,6000,1000,0,0,0,0,0,1,1,1,1,1,1,none,0,0,Gas,Full_fossil,none,none,neighbor,none,287.5,250,1250,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0.602280599500815,06037401311
CEIHE,9,0,30,Male,225000,graduate,White,2,0,1,SF,6,1,2750,Older,0,250,1,4,Gas,Central,Gas,0,1,5,5,NA,Gas,0,4,4,3,2,1,0,2,1,2,4,4,1,NA,10000,4000,NA,1,0,1,0,0,3,4,1,1,3,0,own,1,1,Gas,Full_fossil,neighbor,none,none,neighbor,262.5,250,22500,1,7,1,1,1,1,NA,NA,NA,0,1,1,0,0,0,0.54306694475732,06037920112
PNISR,7,1,30,Male,55000,HS,Hispanic,4,1,1,SF,5,0,750,Older,0,150,0,3,Elec,None,Not know,NA,NA,7,1,NA,Not know,NA,4,2,4,3,1,1,1,0,3,3,3,0,NA,8000,NA,NA,0,0,0,0,0,3,3,1,3,1,1,none,0,0,Elec,No_prefer,peer,none,peer,neighbor,NA,NA,30000,0,4,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.73106036133308,06073003301
RHWPS,12,1,70,Male,162500,college,White,3,1,0,SF,3,1,1250,Older,0,450,1,1,Gas,Central,Gas,0,0,7,2,NA,Elec,0,3,1,3,2,0,0,2,0,2,4,4,0,NA,15000,20000,NA,0,0,0,0,0,2,2,1,1,1,1,potential,0,0,Gas,Full_fossil,peer,none,none,peer,325,250,6250,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17467257252533,06067009105
XUHAO,13,0,40,Male,112500,graduate,White,2,0,1,SF,4,1,2750,BrandNew,1,350,0,2,Gas,Central,Gas,1,1,4,4,NA,Elec,0,2,5,4,3,0,0,2,0,1,4,4,0,NA,15000,6000,NA,1,0,0,0,1,2,1,1,2,1,0,none,1,1,Gas,Full_elec,none,peer,none,peer,350,250,22500,1,7,0,0,0,1,NA,NA,NA,0,0,1,1,1,1,0.46064076105688,06029003212
ZDUCN,6,0,70,Male,112500,graduate,White,6,1,0,SF,2,1,1250,Older,0,250,1,2,Gas,Central,Gas,0,0,6,3,NA,Gas,0,4,2,3,2,1,0,1,0,1,4,4,0,15000,12500,NA,NA,0,0,0,0,0,4,3,2,1,1,0,potential,0,0,Gas,No_prefer,none,none,none,none,225,75,17500,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.445786384673568,06111001507
IFJIG,9,0,90,Male,95000,HS,White,2,1,0,SF,2,1,1250,Older,0,150,1,2,Elec,Room,Gas,0,0,7,6,2,Gas,0,5,2,3,2,0,0,1,0,1,3,3,0,NA,20000,20000,NA,0,0,0,0,0,2,2,1,1,1,1,none,0,0,Elec,Full_fossil,none,none,none,neighbor,150,150,2500,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51211763025302,06037403901
QJKLO,15,1,60,Male,45000,graduate,Hispanic,4,0,0,SF,2,0,1750,BrandNew,0,350,1,1,Gas,Central,Gas,NA,NA,7,7,NA,Gas,NA,3,1,3,3,1,1,1,0,1,3,3,0,NA,15000,NA,NA,1,1,0,0,0,4,4,1,3,1,0,none,0,0,Gas,Full_fossil,peer,peer,none,peer,NA,NA,6250,1,3,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,1.00007732780678,06065044916
UOUCU,7,0,50,Male,225000,college,Hispanic,4,1,1,SF,4,1,3250,Older,0,NA,1,2,Gas,Central,Gas,1,1,6,3,NA,Elec,1,2,2,3,3,0,0,1,0,2,3,3,0,15000,20000,NA,NA,1,0,0,0,0,2,2,1,1,1,1,none,0,0,Gas,No_prefer,peer,none,none,peer,NA,NA,22500,1,4,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,0.953212208682401,06073013411
DUURW,6,1,30,Male,85000,college,Asian,1,1,1,SF,1,1,2250,BrandNew,0,250,0,2,Not know,Central,Elec,1,0,7,1,NA,Gas,1,5,3,3,3,1,0,1,0,1,3,3,0,35000,20000,NA,NA,0,0,0,0,0,1,1,1,1,1,1,none,0,0,Not know,Full_elec,peer,peer,none,none,187.5,150,7500,1,5,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1.43741224211579,06037543603
RDRPP,9,0,70,Female,187500,graduate,White,5,0,0,SF,2,1,2750,Older,0,450,0,1,Gas,Central,Gas,0,0,6,3,NA,Gas,1,5,4,4,3,1,0,2,0,2,3,3,0,NA,20000,6000,NA,1,0,0,0,0,4,3,1,3,2,1,own,0,0,Gas,Half_elec,none,none,none,neighbor,87.5,12.5,16250,1,1,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,0.326358371546595,06111005907
SDIPT,6,0,60,Male,187500,graduate,Hispanic,4,1,0,SF,4,1,1250,Older,0,150,1,3,Gas,Central,Gas,1,1,4,3,NA,Gas,1,4,5,5,2,1,0,2,0,2,3,3,1,3000,4000,NA,NA,0,0,0,0,0,4,4,2,2,1,0,none,1,0,Gas,Full_elec,peer,peer,peer,neighbor,150,75,2500,1,2,0,0,0,1,0,1,1,NA,NA,NA,NA,NA,NA,0.849850471006704,06083001001
CWKFL,10,0,60,Female,162500,some college,White,4,1,0,SF,2,1,1750,Older,0,NA,0,3,Gas,Central,Gas,0,0,5,3,NA,Elec,1,3,1,3,2,0,1,2,0,3,4,4,0,30000,6000,NA,600,0,0,0,0,1,4,3,1,3,2,1,none,1,0,Gas,No_prefer,neighbor,peer,none,peer,250,350,10000,1,7,0,0,0,1,0,0,0,0,0,0,1,1,1,3.06548578014193,06073020105
WPDLO,6,1,70,Male,225000,graduate,White,4,1,1,SF,1,1,2250,Older,0,250,1,2,Not know,Central,Not know,0,1,6,3,NA,Not know,0,4,2,3,2,1,0,1,0,2,3,3,0,NA,2000,2000,NA,0,0,1,0,0,3,3,1,3,1,1,own,0,0,Not know,Full_elec,neighbor,none,none,neighbor,225,150,15000,1,3,1,1,1,0,0,0,0,0,1,1,0,0,0,0.17467257252533,06037543801
GCKBU,12,0,50,Male,112500,college,Asian,4,1,1,SF,2,1,1750,BrandNew,1,350,1,3,Gas,Central,Gas,0,1,5,1,NA,Gas,0,5,3,3,2,1,0,2,1,1,3,3,0,10000,8000,NA,NA,0,0,1,0,0,3,2,1,1,1,0,own,1,1,Gas,Half_elec,neighbor,peer,none,neighbor,150,250,15000,1,4,1,1,1,1,0,0,1,NA,NA,NA,0,0,0,1.11959881575703,06001450101
ASWFY,9,0,90,Male,NA,some college,White,4,1,0,SF,2,1,1750,BrandNew,0,350,0,2,Gas,Central,Gas,0,0,3,3,NA,Gas,0,4,2,3,2,0,0,3,1,1,4,4,0,35000,20000,NA,NA,0,0,0,0,0,4,2,1,1,1,0,none,1,0,Gas,No_prefer,neighbor,none,peer,neighbor,300,150,12500,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51211763025302,06037400209
YGWUG,10,0,50,Male,112500,HS,White,4,1,1,SF,3,1,2250,BrandNew,0,350,1,2,Gas,Central,Gas,0,1,5,3,NA,Gas,0,5,3,3,2,1,0,3,0,3,4,4,0,30000,15000,NA,NA,1,0,0,0,0,1,1,1,1,1,1,potential,0,0,Gas,No_prefer,none,none,peer,peer,225,150,17500,1,5,0,0,0,1,0,0,0,NA,NA,NA,0,0,0,1.41781069197653,06065040302
AVMPZ,14,1,80,Male,65000,some college,Hispanic,5,1,0,SF,2,1,2250,Older,0,350,1,2,Gas,Central,Gas,0,1,7,3,NA,Gas,1,4,2,3,3,1,0,1,1,1,4,4,0,12500,10000,NA,800,0,0,0,0,0,4,3,1,1,1,0,potential,1,1,Gas,Full_elec,peer,none,none,peer,NA,NA,22500,1,3,0,0,0,0,0,0,0,NA,NA,NA,0,0,1,0.741154936766131,06071010021
MDCSS,10,0,50,Male,225000,graduate,Asian,4,0,1,SF,4,1,3750,BrandNew,1,350,0,2,Other,Central,Other,0,0,6,3,NA,Other,0,2,5,3,2,1,0,1,0,1,4,4,0,NA,10000,10000,NA,1,1,0,0,0,3,4,1,1,1,0,potential,1,1,Other,Half_elec,peer,none,none,peer,NA,NA,27500,1,2,0,0,0,1,1,1,1,0,0,0,0,0,0,1.11827088454697,06073017010
ABRFE,1,0,80,Male,225000,some college,White,4,1,0,SF,2,1,2250,Older,0,350,1,2,Gas,None,Gas,0,1,2,2,NA,Gas,1,5,2,3,3,0,0,1,0,2,3,3,1,10000,10000,NA,NA,0,0,0,0,0,3,1,1,1,1,0,potential,1,0,Gas,Half_elec,peer,peer,peer,peer,550,450,7500,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.29320122473279,06097153707
IVXQF,9,1,60,Male,35000,college,Asian,2,0,0,MF,3,0,750,Older,0,NA,1,1,Gas,Central,Elec,NA,NA,7,1,NA,Elec,NA,5,1,3,3,0,1,4,0,1,4,4,0,NA,NA,NA,NA,0,0,0,0,0,1,1,1,1,1,0,none,0,0,Gas,Full_elec,none,none,none,none,NA,NA,6250,0,7,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3.30089262524954,06037408626
KAAZL,10,0,50,Female,85000,some college,White,2,1,1,SF,2,1,1250,BrandNew,0,450,1,2,Elec,Central,Gas,0,0,6,2,NA,Gas,0,1,1,3,2,0,0,2,0,2,4,4,0,35000,20000,NA,NA,0,0,0,1,0,4,4,1,4,1,1,none,1,0,Not know,Full_fossil,none,peer,none,none,400,650,2500,1,7,0,0,0,1,0,0,0,1,1,1,0,0,0,1.20771571539846,06065042752
TXIXD,9,0,70,Female,187500,college,White,4,1,0,SF,2,1,3250,BrandNew,0,450,0,2,Gas,Central,Elec,1,1,5,3,NA,Gas,0,3,1,2,1,0,0,4,0,1,2,2,0,30000,10000,NA,NA,0,0,0,0,0,1,1,1,1,3,1,none,1,0,Gas,Full_fossil,peer,none,none,neighbor,387.5,750,20000,1,4,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0.326358371546595,06111007515
DRMIK,13,0,50,Female,NA,some college,AIANNHPI,2,1,1,SF,4,1,1250,BrandNew,0,NA,1,2,Gas,Central,Gas,0,0,7,5,NA,Gas,0,1,1,3,2,1,0,2,0,1,4,4,0,NA,20000,20000,NA,0,0,0,0,0,1,1,1,1,1,1,none,0,0,Gas,Full_fossil,none,none,none,peer,NA,NA,7500,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.780305864817915,06029003808
LVVOC,15,1,80,Male,112500,graduate,White,4,1,0,SF,2,1,1750,BrandNew,0,250,1,2,Elec,Central,Elec,1,0,7,5,NA,Elec,0,5,3,3,2,1,0,2,0,2,4,4,0,35000,20000,NA,NA,1,0,0,1,0,3,3,1,1,1,0,potential,1,1,Gas,No_prefer,neighbor,none,neighbor,neighbor,87.5,75,7500,1,2,0,0,0,1,0,0,0,1,1,1,0,0,0,0.383906544741384,06065940700
WSBBU,13,1,30,Female,45000,some college,Hispanic,4,1,1,SF,1,1,750,Older,0,350,0,2,Gas,Other,Gas,0,1,7,1,NA,Gas,0,2,1,4,3,0,0,2,0,1,2,3,1,NA,20000,15000,NA,0,0,0,0,0,4,4,1,4,1,1,none,0,0,Gas,Half_elec,peer,peer,none,peer,75,150,10000,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91311907011332,06029001401
NCHWA,4,0,40,Male,225000,graduate,Asian,4,0,1,SF,2,1,2250,BrandNew,1,350,1,2,Gas,Central,Gas,0,0,5,5,NA,Gas,0,5,4,3,2,1,0,2,0,1,2,2,0,NA,8000,6000,NA,1,0,0,0,0,2,1,1,1,1,1,none,0,0,Gas,Half_elec,peer,peer,none,peer,250,150,17500,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1.29689017086119,06085506304
THGYL,6,1,70,Female,65000,some college,Hispanic,7,1,0,SF,3,1,2250,Older,0,NA,0,NA,Elec,None,Gas,0,0,7,1,NA,Gas,0,3,1,3,2,1,0,4,1,1,4,4,0,NA,NA,20000,1200,0,0,0,0,0,4,1,1,1,1,0,none,0,0,Elec,No_prefer,peer,none,none,peer,325,150,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.553412785490567,06111008700
KZBTZ,7,0,21,Male,112500,HS,Hispanic,3,1,1,SF,7,0,1250,BrandNew,0,450,1,4,Elec,Room,Elec,NA,NA,7,1,2,Gas,NA,4,4,4,2,1,0,2,1,2,3,2,0,NA,0,NA,NA,0,0,1,0,0,3,2,2,4,1,0,own,1,1,Elec,Half_elec,peer,neighbor,none,peer,NA,NA,38750,0,3,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,3.30089262524954,06073018510
YSGOU,6,1,40,Male,187500,graduate,White,6,1,1,SF,3,1,1250,Older,0,NA,1,2,Gas,Central,Gas,0,1,6,3,NA,Gas,0,3,3,3,3,1,0,2,0,1,4,3,0,NA,6000,6000,NA,0,0,0,0,0,4,2,1,1,1,0,potential,0,0,Gas,Half_elec,neighbor,peer,peer,neighbor,250,250,32500,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0.32523721589744,06059042312
ZGMIQ,9,0,50,Male,15000,less than HS,Non-hispanic other,7,0,1,SF,1,0,750,Newer,0,NA,0,1,Not know,Not know,Not know,NA,NA,7,1,NA,Not know,NA,1,5,1,1,0,0,4,0,1,1,NA,0,NA,20000,NA,NA,0,0,0,0,0,4,1,3,4,1,0,none,0,0,Not know,No_prefer,none,none,none,none,NA,NA,1250,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.35193540634026,06111008002
NYADM,10,0,70,Male,45000,graduate,White,2,1,0,MF,1,1,1250,BrandNew,0,450,NA,1,Gas,Central,Elec,1,1,7,4,NA,Gas,1,4,1,3,3,1,0,1,0,2,3,3,0,NA,20000,0,NA,0,0,0,0,0,2,2,1,1,1,1,none,0,0,Gas,No_prefer,neighbor,peer,none,peer,250,350,6250,1,6,0,0,0,0,0,0,0,1,1,1,NA,NA,NA,1.14832437354284,06073017039
DMUOR,6,0,40,Male,225000,college,White,6,1,1,SF,3,1,1750,Older,1,NA,1,2,Elec,Central,Gas,0,1,7,3,NA,Gas,0,5,2,4,3,0,0,2,0,2,4,4,0,NA,0,0,1200,0,0,0,1,0,3,1,1,1,3,0,potential,1,1,Gas,Half_elec,neighbor,neighbor,neighbor,neighbor,387.5,250,10000,1,1,1,1,1,0,NA,NA,NA,1,1,1,0,0,0,0.610164366560206,06083002914
YSXOS,13,1,50,Male,55000,some college,White,1,1,1,SF,5,1,3750,Older,0,150,1,2,Gas,Central,Elec,1,1,3,4,NA,None,1,4,3,5,1,0,0,1,1,2,4,4,0,7500,10000,NA,NA,1,1,0,0,0,3,1,1,1,1,0,potential,0,0,Gas,Full_elec,peer,peer,peer,peer,75,150,25000,1,7,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,0.637289205495125,06029004102
ELDAP,15,0,70,Male,112500,some college,White,4,1,0,SF,2,1,1250,BrandNew,0,350,1,2,Elec,Central,Gas,0,1,5,5,NA,Elec,1,5,3,3,2,0,0,1,0,1,4,4,0,15000,15000,NA,NA,0,0,0,0,0,3,1,1,1,1,1,none,0,0,Elec,Half_elec,peer,peer,peer,peer,150,12.5,7500,1,4,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,2.63768650108306,06065044928
SBSMM,4,0,70,Male,112500,graduate,White,6,1,0,SF,2,1,1750,Older,0,150,1,2,Elec,Central,Other,0,1,6,3,NA,Elec,0,5,3,3,2,0,0,2,0,2,4,4,0,NA,20000,0,NA,1,0,0,1,0,4,1,1,1,1,0,potential,0,0,Not know,Full_elec,peer,peer,neighbor,neighbor,NA,NA,12500,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0.536727160756426,06079010302
YGTPZ,7,0,70,Male,137500,some college,White,2,1,1,SF,2,1,1750,Older,0,350,0,2,Gas,None,Gas,0,0,7,3,NA,Gas,0,5,1,3,2,0,0,1,0,1,4,4,0,NA,20000,15000,NA,0,0,0,0,0,1,2,1,1,1,1,none,0,0,Gas,Full_fossil,neighbor,none,neighbor,neighbor,150,150,15000,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898016046152527,06073007002
PTQAJ,6,1,40,Female,137500,graduate,White,6,1,0,SF,3,1,1250,Older,0,250,0,2,Elec,Central,Gas,0,1,5,5,NA,Gas,1,4,2,3,2,0,0,2,0,2,3,3,0,NA,4000,4000,500,0,0,1,0,0,4,3,1,1,1,0,own,1,1,Elec,Half_elec,neighbor,peer,peer,neighbor,150,150,22500,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0.17467257252533,06059099601
XEATH,16,1,30,Other,15000,some college,White,7,1,0,SF,3,0,750,Older,0,250,0,1,Elec,Central,Gas,NA,NA,4,4,NA,Gas,NA,2,1,3,3,0,1,3,0,2,1,NA,0,NA,15000,NA,NA,0,0,0,0,0,4,4,1,1,1,0,none,1,0,Elec,Half_elec,none,peer,peer,neighbor,450,350,3750,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0.971984385659486,06089012701
TBNJJ,7,0,40,Female,225000,graduate,White,2,1,1,SF,2,1,1250,Older,0,450,0,2,Elec,Central,Gas,1,0,4,5,NA,Gas,0,5,4,3,3,0,0,2,0,1,1,3,0,10000,20000,NA,NA,1,0,0,1,0,3,4,2,4,3,1,potential,0,0,Not know,Half_elec,peer,peer,peer,neighbor,NA,NA,15000,1,6,0,0,0,1,0,0,1,1,1,1,0,0,0,0.532804076808103,06073002001
RNRLB,10,1,40,Female,45000,graduate,Hispanic,4,0,1,SF,4,0,750,Older,1,150,1,2,Gas,Room,Elec,NA,NA,4,6,2,Not know,NA,3,1,4,2,1,1,2,0,1,2,3,0,NA,10000,NA,NA,0,0,0,0,0,4,4,1,3,1,1,potential,0,0,Gas,Half_elec,neighbor,none,peer,peer,150,150,25000,1,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,2.61331080271143,06065042515
RSFXU,15,1,70,Male,137500,college,White,6,1,0,SF,2,1,1750,Older,0,250,1,2,Gas,Central,Gas,0,1,7,4,NA,Gas,1,5,2,3,3,1,0,1,0,2,4,4,0,NA,6000,4000,NA,1,0,0,0,0,3,1,1,1,1,0,own,1,1,Gas,Full_fossil,neighbor,peer,neighbor,neighbor,75,150,5000,1,1,0,0,0,1,0,0,0,0,1,1,NA,NA,NA,0.347889068623105,06065044804
HNWBC,10,0,70,Male,75000,some college,White,2,0,0,SF,2,1,1750,BrandNew,0,150,1,2,Gas,Central,Gas,0,0,5,5,NA,Gas,1,4,1,3,2,1,0,2,1,2,4,4,1,30000,20000,NA,NA,0,0,0,0,0,1,1,1,1,3,1,none,0,0,Gas,Full_fossil,peer,peer,peer,peer,300,350,7500,1,7,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,0.935680906030947,06065043304
WGSOZ,3,1,30,Male,225000,college,Asian,6,0,1,SF,6,0,2250,Older,0,250,0,NA,Gas,Room,Gas,NA,NA,1,5,NA,Gas,NA,2,3,3,3,0,0,1,0,1,2,2,0,NA,NA,NA,NA,0,0,0,0,0,1,1,1,1,1,0,none,1,1,Gas,No_prefer,neighbor,peer,peer,peer,750,350,NA,1,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0.94541514408167,06075020102
QKBFL,14,1,21,Male,75000,some college,Hispanic,5,1,0,SF,10,1,3250,BrandNew,0,350,0,4,Other,Central,Gas,0,1,2,6,NA,Gas,1,3,4,3,2,1,0,2,0,2,4,4,0,NA,15000,6000,NA,0,0,0,0,0,3,3,3,2,1,0,none,1,1,Other,Half_elec,none,none,none,none,NA,NA,30000,1,2,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,1.20902723152556,06071010012
TZQLY,8,1,50,Male,137500,college,White,3,1,1,SF,4,1,1250,Older,1,250,1,4,Elec,Room,Elec,1,0,7,1,NA,Elec,1,3,3,3,2,1,0,2,0,3,2,3,0,NA,4000,2000,NA,0,0,0,0,0,2,1,1,1,1,1,potential,1,1,Elec,No_prefer,peer,none,none,neighbor,NA,NA,22500,1,5,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1.62287412824157,06059088101
WKGQR,7,0,70,Male,112500,graduate,White,6,1,0,SF,1,1,1750,Older,0,250,1,2,Gas,Central,Gas,0,1,7,2,NA,Elec,1,5,2,4,3,1,0,2,0,2,4,4,1,5000,6000,NA,NA,0,0,0,0,0,3,2,1,1,1,1,potential,1,1,Gas,Half_elec,neighbor,none,none,neighbor,75,75,10000,1,1,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0.445786384673568,06073008344
