ExternalReference,climatezone,dac,age,gender,income,education,race,ideology,born_us,employment,home_type,household_numpeople,home_own,home_area,home_age,charging_work,rangeanxiety,vehicle_next_used,vehicle_num,primary_heating_type,primary_cooling_type,hotwater_energy,hotwater_nextelec,heatpump_direct,therm_summer,therm_winter,ac_unit_number,kitchen_range_type,induction_direct,heating_cost_burden,elec_savemoney,elec_health,elec_safety,upfrontpayback,lowincome_sup,outage_impact,outage_generatorown,outage_generatorplan,elec_avail,hvac_avail,ccinsure_lost,solstor_wtp_dv,ev_wtp_pc,heatpump_wtp_pc,induction_dv,PV,PS,EV,HP,IC,yale_worried,cclive,ccpastmove,ccfuturemove,homevac,ccmove_where,charging_access,charging_5mile_r,charging_5mile_f,previous_heating_type,electrification,peer_EV,peer_IC,peer_HP,peer_PV,cost_combo_winter_final,cost_combo_summer_final,vehicle_comb_miles,ccinsure_both,pid_composite,future_EV_0,future_EV_low,future_EV_high,future_PV,future_PS_0,future_PS_low,future_PS_high,future_HP_0,future_HP_low,future_HP_high,future_IC_0,future_IC_low,future_IC_high,wt_ca,tractid
ZLFEC,13,0,60,Male,15000,college,Hispanic,3,1,0,SF,1,1,1750,BrandNew,0,450,0,1,Not know,Not know,Gas,0,0,7,1,NA,Gas,0,1,1,3,2,NA,1,1,0,2,4,4,0,30000,20000,NA,NA,0,0,0,0,0,1,1,1,1,1,1,none,0,0,Not know,Full_fossil,peer,peer,none,neighbor,150,250,6250,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.624189518811531,06029002822
WKQGY,12,0,70,Female,85000,graduate,White,5,1,0,SF,3,1,3250,BrandNew,0,250,0,3,Other,Other,Other,0,0,5,4,NA,Other,0,4,1,3,2,1,0,2,0,2,3,3,0,5000,2000,NA,NA,0,0,0,0,0,4,3,1,3,1,1,own,1,0,Other,Half_elec,neighbor,peer,peer,none,NA,NA,2500,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408516312838635,06067008211
URSZO,14,1,30,Male,187500,college,Hispanic,5,1,1,Others,4,1,2250,BrandNew,1,450,1,4,Elec,Central,Elec,1,1,6,1,NA,Elec,0,4,3,3,2,1,0,3,1,2,4,4,0,NA,8000,8000,NA,1,1,0,0,0,3,4,3,4,1,0,potential,0,0,Elec,Half_elec,peer,peer,peer,peer,NA,NA,22500,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1.31252934015089,06073020903
UJWEY,10,1,70,Male,112500,some college,White,2,1,1,SF,2,1,1750,BrandNew,1,350,0,4,Gas,Central,Gas,0,1,5,6,NA,Gas,0,2,1,3,1,1,0,3,0,2,3,3,0,NA,20000,10000,1200,0,0,0,0,0,1,1,1,1,3,1,own,0,0,Gas,Full_fossil,peer,none,none,peer,250,750,17500,1,7,0,0,0,1,NA,NA,NA,0,0,0,0,0,0,0.655596317898265,06073018903
QZDWZ,9,1,90,Male,65000,some college,White,3,1,0,SF,2,1,1750,BrandNew,0,350,0,2,Gas,Central,Gas,0,0,6,5,NA,Gas,0,5,4,3,2,1,0,2,0,1,3,3,0,20000,20000,NA,NA,1,0,0,0,0,2,2,1,2,1,1,none,0,0,Gas,No_prefer,none,none,none,neighbor,300,150,2500,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1.77401964696491,06111007800
SHBTA,12,1,30,Female,112500,HS,White,3,1,1,SF,3,1,2250,Older,0,450,1,3,Gas,Central,Other,1,1,5,6,NA,Elec,1,3,3,3,3,0,0,1,0,2,4,4,1,5000,20000,NA,NA,1,1,0,0,0,3,2,1,2,1,0,none,0,0,Gas,Full_elec,none,none,none,peer,NA,NA,5000,1,7,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,0.650927615209336,06099000909
TVCSR,10,1,50,Female,85000,less than HS,Hispanic,7,1,1,SF,3,1,1250,Older,1,250,1,2,Elec,Central,Elec,0,1,7,4,NA,Gas,0,1,4,4,1,0,0,4,0,2,3,3,0,NA,15000,15000,800,0,0,0,0,0,3,4,3,3,1,0,potential,0,0,Elec,Full_elec,none,none,none,none,400,550,8750,1,1,0,0,0,1,NA,NA,NA,0,0,0,0,0,0,1.28522314881554,06071001001
ILHOO,14,1,40,Male,25000,some college,Black,6,1,1,SF,5,0,1250,Older,1,150,0,NA,Elec,None,Elec,NA,NA,3,4,NA,Gas,NA,4,2,5,3,0,1,2,0,2,3,3,0,NA,NA,NA,NA,1,0,0,0,0,4,3,1,4,1,0,potential,0,0,Elec,Half_elec,none,none,peer,peer,NA,NA,NA,0,4,NA,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,1.63502272545723,06071009713
DKXAQ,12,0,70,Female,137500,college,White,5,1,0,SF,2,1,1750,Older,0,350,1,3,Gas,Central,Gas,0,0,7,3,NA,Gas,0,4,4,3,2,0,0,1,0,1,3,3,0,NA,6000,2000,NA,1,0,0,0,0,3,2,1,1,1,1,own,0,0,Gas,Half_elec,neighbor,none,none,peer,162.5,37.5,25000,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0.408516312838635,06067002500
DNKQJ,7,1,60,Female,137500,college,Hispanic,6,1,1,SF,1,1,1750,Older,0,350,1,1,Gas,Central,Elec,0,0,3,3,NA,Gas,0,5,3,3,2,0,0,1,0,2,4,4,0,NA,0,20000,NA,0,0,0,0,0,4,4,1,3,1,0,potential,1,1,Gas,No_prefer,peer,peer,none,peer,NA,NA,6250,1,1,0,0,0,1,NA,NA,NA,0,0,0,0,0,0,0.373757843998401,06073019205
WDKEN,12,1,50,Female,15000,less than HS,White,4,1,0,Others,1,1,1250,Older,0,NA,0,2,Not know,Room,Other,0,0,5,4,2,Other,1,2,4,3,3,1,1,1,0,3,4,2,0,35000,20000,NA,NA,0,0,0,0,0,4,1,1,2,1,1,none,0,0,Not know,Full_elec,neighbor,peer,none,none,87.5,75,35000,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1.56724482836115,06067007413
FNUGC,6,1,70,Male,187500,graduate,Multirace,5,1,0,SF,3,1,2250,BrandNew,0,350,0,4,Gas,None,Gas,1,1,7,3,NA,Gas,1,4,2,3,3,1,0,2,0,1,4,4,1,NA,4000,8000,1000,0,0,0,0,0,3,3,2,1,3,0,potential,1,1,Gas,Half_elec,neighbor,none,none,neighbor,225,75,7500,1,1,0,0,0,1,NA,NA,NA,0,0,1,0,0,0,0.17467257252533,06111004400
AZZXE,8,0,70,Male,137500,graduate,White,2,1,1,SF,3,1,3250,Older,0,350,0,3,Gas,Central,Gas,0,0,5,3,NA,Gas,0,4,1,3,2,0,0,2,0,1,3,3,0,NA,20000,20000,NA,0,0,0,0,0,1,1,1,1,1,1,potential,1,0,Gas,Full_fossil,none,none,none,peer,325,350,30000,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317668863765394,06059032034
