building_id,income,annual_kwh,pre_fixed_bill,post_fixed_bill,pre_fixed_tou_bill,post_fixed_tou_bill,new_F0_WF0_ROE0_bill,new_F0_WF0_ROE0.5_bill,new_F0_WF0_ROE1.5_bill,new_F0_WF1_ROE0_bill,new_F0_WF1_ROE0.5_bill,new_F0_WF1_ROE1.5_bill,new_F25_WF0_ROE0_bill,new_F25_WF0_ROE0.5_bill,new_F25_WF0_ROE1.5_bill,new_F25_WF1_ROE0_bill,new_F25_WF1_ROE0.5_bill,new_F25_WF1_ROE1.5_bill,new_F50_WF0_ROE0_bill,new_F50_WF0_ROE0.5_bill,new_F50_WF0_ROE1.5_bill,new_F50_WF1_ROE0_bill,new_F50_WF1_ROE0.5_bill,new_F50_WF1_ROE1.5_bill,new_F75_WF0_ROE0_bill,new_F75_WF0_ROE0.5_bill,new_F75_WF0_ROE1.5_bill,new_F75_WF1_ROE0_bill,new_F75_WF1_ROE0.5_bill,new_F75_WF1_ROE1.5_bill
157123,medium,6407.463757325096,2956.3762715070443,2895.568154049915,3421.242361424601,3303.5336106435243,2090.164048504755,2056.4144441217627,1989.2927203644088,1885.655882679233,1852.1929395122743,1784.948157032021,1994.6093981980014,1961.1829311255901,1894.1133727327917,1790.2648348656217,1756.7177545245404,1689.6481961317431,1899.2029242351346,1865.628280818853,1798.6381877450626,1695.0443392843395,1661.4067762093605,1594.416683135572,1803.8919459199587,1770.407785237576,1703.0835374383203,1599.4896889775994,1565.9837565861847,1498.8620328288305
275166,high,9959.52401315353,4813.230160044256,4528.836813148499,5387.9680946768785,5041.096682885018,3288.9793310031223,3235.8860120813674,3130.255600523811,2967.262126477469,2914.4984166383756,2808.745110933192,3022.8828244346837,2970.3296220348716,2864.7560337208633,2701.372334844058,2648.5649498839525,2542.991361569994,2757.0561420638,2704.2331154663707,2598.822566966417,2435.781625294898,2382.8455200234116,2277.4349715234825,2491.3367122032896,2438.6424059171854,2332.7260603979385,2169.6851187264188,2116.9688765125543,2011.3384649549964
381339,low,6223.366225600237,2856.097963880974,2585.537275222185,3292.941664956571,2965.441994564792,2013.6667174488084,1981.1328067334202,1916.4741068378144,1816.5937203954816,1784.3978080364068,1719.617954084152,1807.911663564387,1775.715489154172,1711.0861215177972,1611.0555108107574,1578.7200294364336,1514.090661800101,1602.2836537909675,1569.960435269754,1505.4083429178493,1405.605493811111,1373.2254365727858,1308.6733442208733,1396.7890609273245,1364.510418270087,1299.6532890334684,1199.8504399267035,1167.576990232024,1102.9182903364515
199950,medium,3918.613132044685,1675.4102715700933,1768.8434801389092,2099.4949972096433,2142.123347456268,1279.1054563936464,1258.449062948091,1217.3825344756626,1153.964880038973,1133.4602836642239,1092.3283283987748,1298.938144740536,1278.4817895232172,1237.4262020251658,1173.8839386636466,1153.354832484008,1112.2992449859612,1318.851900162906,1298.3144778700994,1257.320750844952,1193.9167157237166,1173.3256985862313,1132.3319715610799,1338.8227662651357,1318.3472549301762,1277.153439191844,1213.7494040706101,1193.231188380416,1152.1646599079736
189292,high,5297.466715552869,2317.9783177067,2334.0424899350423,2812.8662716162207,2766.8000010356086,1714.1283513736055,1686.441338465732,1631.4105579288353,1546.3937809518247,1518.9559254916853,1463.8182165166418,1672.0726795142505,1644.6486655740603,1589.6380673256306,1504.4803381020572,1476.9733220401954,1421.9627237917862,1630.1167581897262,1602.5929937146698,1547.6554638741704,1462.6979137850676,1435.1075807406746,1380.1700509001234,1588.2510168901817,1560.8105693977059,1505.599792014801,1420.6422419257194,1393.1451595776516,1338.1143790407832
37890,low,2266.92003752163,963.8037231526962,921.0887264319639,1210.7781105251415,1138.0678178916062,736.4983771294318,724.6005918606523,700.9568693779217,664.4304587991924,652.6387214610938,628.950830488091,712.4416711902754,700.6623403877667,677.022073557608,640.435632300454,628.6159818438514,604.9757150136809,688.4297064747457,676.6056344486449,652.9993339403384,616.4944831479446,604.6437640491043,581.0374635408276,664.4574886799894,652.6644852961099,628.9426280011996,592.4377772087907,580.624480084379,556.9807576016776
27955,high,4364.60779614346,1873.4949626051114,1943.0780210354867,2326.8248818741254,2340.8100271091157,1418.6337430877757,1395.7186910258526,1350.17304517695,1279.81925015256,1257.1064480305981,1211.4791639416494,1418.6126812793261,1395.9263120255587,1350.3910516739081,1279.9188000440406,1257.151001977194,1211.6157416255783,1418.6830979991619,1395.905250217102,1350.4356056205256,1280.120993483015,1257.2930072218448,1211.8233626252872,1418.8251032438202,1396.1074436560848,1350.4145438120822,1280.0999316745729,1257.3479466657259,1211.8023008168364
411228,high,2108.2033188180767,896.3237230286935,1083.5607551383962,1124.8497102167767,1284.1945349931077,686.1625037075603,675.0803976151569,653.0497781818128,619.0233496622503,608.0361044476538,585.9673628106511,790.3435040295551,779.3715840656141,757.347278959827,723.2610886584243,712.2494042322785,690.2250991265131,894.5715193948315,883.5525843876105,861.5605787444786,827.5511244369122,816.5082912200967,794.5162855769621,998.8304063826488,987.8426201661068,965.7415790664832,931.7321247589206,920.7279053323185,898.697285898968
430961,medium,5719.134881716582,2585.162880771633,2569.053307101517,3046.3965279709664,2973.191352215608,1857.093435857872,1827.1103002737848,1767.473608382296,1675.3953998782995,1645.6458519869116,1585.9166381400387,1794.7008760237577,1764.999152788912,1705.4054228828113,1613.1439057814994,1583.331497273148,1523.737767367054,1732.4308763379431,1702.6065929547858,1643.0910681690493,1551.043240128874,1521.142144667916,1461.6266198821677,1670.2415237327045,1640.50592730216,1580.6985083349362,1488.650680294758,1458.870751939558,1399.2340600480566
256677,low,7519.090651796253,3336.603454152696,3008.1924850608825,4013.222336697983,3601.969887506945,2446.684045881302,2407.1500189533836,2328.57960276886,2207.27739937925,2168.0824626595304,2089.414594718923,2179.340105219077,2140.2353691227318,2061.6994163748036,1940.175097169159,1900.8311942576245,1822.2952415096943,1912.1179417334686,1872.8914284604764,1794.448147972884,1673.1484162202448,1633.82387216662,1555.3805916790338,1645.1106196424878,1605.8647475115715,1527.104207310654,1405.804475558023,1366.607067201324,1288.0366510168133
258340,medium,8789.332786531162,4016.6108829308055,3828.14637709921,4699.54322423713,4428.57398117403,2867.752761784193,2821.437972802636,2729.349285568599,2587.1475816225948,2541.240891695554,2449.00677017657,2661.568283914053,2615.7353555932696,2523.678629303294,2381.2257685219874,2335.1934741560376,2243.136747866129,2455.607270591137,2409.550877723043,2317.6312117637644,2175.4928065422123,2129.3537966159856,2037.4341306567076,2249.767593051086,2203.817915743257,2111.4467338935733,1969.3083286720776,1923.3383400206087,1831.249652786529
448006,high,4817.204723201281,2102.4671008251776,2144.4797456055703,2564.3351458028033,2549.1822066497793,1558.1727496350584,1533.0033640486602,1482.9876493961697,1405.7009336975043,1380.7543149807518,1330.6323900327975,1538.305838709664,1513.3681256676796,1463.3632197161548,1385.9505793462881,1360.9559273303369,1310.9510213788676,1518.5222773788,1493.501214742254,1443.5648320657647,1366.3377339673632,1341.2521656743925,1291.3157829978818,1498.81851572283,1473.8883693633313,1423.697921140401,1346.4708230419815,1321.4645867249578,1271.4488720725012
201391,medium,7818.28584841617,3709.35567043038,3557.8801045950536,4222.925490383073,4014.1412740825745,2572.3198069022615,2530.8003795912846,2448.182484941929,2320.71464348123,2279.4275281195005,2196.723690389207,2408.185754503254,2367.0696512291074,2284.5149288058033,2156.7269599505335,2115.410737800578,2032.8560153772992,2244.237271329516,2202.9355988300995,2120.4981384868693,1992.9765470186817,1951.562747358299,1869.1252870150734,2080.3892808872442,2039.1851858982404,1956.3640860878543,1828.8424946196883,1787.6091292654592,1704.9912346160797
386175,high,4625.097339460117,1999.5871330530565,2053.987732046741,2464.725359407787,2462.0404931822004,1507.1491304103058,1482.8125413242806,1434.40347014241,1359.6764075829547,1335.554906091218,1287.0803083586188,1494.529238594524,1470.4479675525063,1422.072260937539,1347.2060768107601,1323.000851080465,1274.625144465464,1482.031921188368,1457.8280757367552,1409.5182059267586,1334.8167497226186,1310.5704405037013,1262.2605706937222,1469.6015106115788,1445.4387486486194,1396.8983141109868,1322.1968579068755,1298.049750059833,1249.640678877956
66682,high,8173.495161797281,3857.1009665028987,3687.836770059852,4352.651134481277,4121.3931431552,2654.673110683314,2611.8144183150093,2526.5521106336614,2394.936615655823,2352.4196024172716,2267.0343809493324,2478.8151479797993,2436.366450977717,2351.183096449941,2219.297418295476,2176.6638227906074,2091.480468262857,2303.1372004506647,2260.508488274179,2175.4273168232903,2043.8456886858594,2001.1136723764444,1916.0325009255475,2127.5870500364817,2085.056758664565,1999.569354119782,1867.9877259823506,1825.4368459033813,1740.1745382220302
143783,high,308.052362616178,146.73000000000002,410.35830204757207,163.22609927325766,438.5414924800878,99.44001343506392,97.83426264976369,94.64140029644798,89.70999175493402,88.11764030473813,84.91895506781889,287.08960096846397,285.49824581179746,282.30771489373274,277.3671557398301,275.7709794123843,272.58044849431485,474.74451937106005,473.14783334519836,469.9610540013714,465.0324007405696,463.43121100017623,460.2444316563477,662.4047509588573,660.813078345934,657.6106415347738,652.6819882739716,651.0868815430626,647.8940191897516
517543,low,6847.219821291167,3196.884841150422,2885.2891597328507,3677.6042028115307,3309.8259229147257,2238.775505174881,2202.6596461820614,2130.73707261709,2019.8017416310195,1983.874376710885,1911.8773998708423,2001.0170994675339,1965.2143586604861,1893.3959666515605,1782.1574267212818,1746.1995782281997,1674.3811862192833,1763.4206780250286,1727.4559529531343,1655.7211681688907,1544.744820294406,1508.6706834819736,1436.9358986977172,1525.891783278783,1490.0433465262581,1417.962762461536,1306.98641458705,1271.1000665553327,1199.177492990364
31478,medium,6956.547562855466,3247.9338462652177,3152.0188748312607,3723.5764478525634,3570.2419420059387,2274.3604103802004,2237.6132508326677,2164.5826876941605,2051.815967899479,2015.4000499242643,1942.245664584836,2152.6031249688585,2116.2450591178176,2043.2478894966,1930.2661018595322,1893.7253203955147,1820.728150774292,2030.977555380964,1994.487773706493,1921.573159967843,1808.8311439315785,1772.2745727980805,1699.3599590594404,1909.5268077835312,1873.0528157785182,1799.8158745565036,1687.073858520235,1650.6332367866169,1577.602673648103
297903,low,2770.096759208889,1177.7343381452515,1109.2617250413484,1481.88325299674,1376.7219418542913,903.9055243604269,889.3092255805406,860.287363724575,815.4708785282071,800.9846385234706,771.9163505441126,856.0346059567486,841.5798774785228,812.5672928751793,767.6635927762766,753.1575798532191,724.1449952498762,808.2248080077486,793.7089590748492,764.7402342049293,719.936097215482,705.3843720177706,676.4156471478602,760.4516001722926,745.9814635140417,716.8693158012422,672.0651788117972,657.5665906001401,628.5447287441734
436406,medium,9265.631129180356,4271.7915432738255,4052.6002902620044,4931.734821772555,4630.035782036396,3005.351441049734,2956.8058691693363,2860.320790911405,2711.2689324312214,2663.1579343192197,2566.493166845833,2779.6037940998567,2731.53419914338,2635.0741030158124,2485.776170034254,2437.5455540438643,2341.085457916397,2554.0410144609104,2505.7865521933986,2409.461722740468,2260.503727779316,2212.1386173433775,2115.813787890445,2328.6340777604255,2280.5141099385573,2183.714075790561,2034.7560808294925,1986.55121919842,1890.066140940536
397908,high,4469.233591282446,1954.7453073460654,2014.5439010401758,2387.416222491157,2394.7085866224234,1453.3727856012683,1429.9143456919503,1383.236553074934,1311.1895604028794,1287.8927559273213,1241.1500219715251,1448.4160365798848,1425.16990060418,1378.5379006954824,1306.3295054764728,1282.9941322763896,1236.3621323676978,1443.5555709997252,1420.2131515828032,1373.639277044546,1301.5997412430843,1278.1915618181772,1231.6176872799238,1438.7530005415138,1415.483387349404,1368.682528023172,1296.6429922217108,1273.3387308755584,1226.6609382585511
545225,low,293.39746377890566,146.73000000000002,183.05048952939734,155.4880557843483,209.91941018008072,94.73965885464459,93.20977212807485,90.16784838736795,85.46957452875907,83.95242541357067,80.90501278860559,161.98030281610423,160.4642267201653,157.42443247487753,152.7174672173333,151.1966848965912,148.15689065129993,229.22601210158413,227.70487068162248,224.668691957896,219.97296060159297,218.44752396711766,215.41134524338483,296.47685117211574,294.9603640658775,291.90933591935476,287.21360456305007,285.6939129455526,282.6519892048485
50673,high,3551.3600266216336,1527.159022801105,1638.441555832909,1915.5135523064237,1981.765407564588,1164.8200786395662,1146.0149752012567,1108.6087011677741,1050.8745997009653,1032.1918471978672,994.7327975593506,1200.9119768607648,1182.285960464797,1144.9058836317379,1087.0360732523502,1068.333149798398,1030.953072965331,1237.0812092655208,1218.3778586860076,1181.0471862322702,1123.3057530376705,1104.554730682609,1067.2240582288964,1273.3027901497435,1254.6475384713083,1217.1390844534803,1159.3976512588615,1140.7222304835636,1103.3159564500907
19284,medium,4106.758017107436,1773.377582810512,1855.0144860154282,2202.0102437896367,2232.466768248772,1339.9316934545618,1318.2926830522706,1275.265506668421,1208.8362898447183,1187.366598429926,1144.2661960402688,1351.1122857603323,1329.6796756891315,1286.6853141708632,1220.1129751321928,1198.5942915605733,1155.5999300423084,1362.368760807129,1340.8602679949072,1297.9130073015135,1231.4938099591322,1209.9341833725616,1166.9869226791743,1373.7086526191097,1352.2411028218298,1309.093599607278,1242.6744022648923,1221.1946913687893,1178.1675149849466
139275,low,5252.371406321223,2294.186551063441,2091.288197123301,2837.216004428265,2572.051371673955,1735.984851454972,1707.9601708879657,1652.1948992723624,1566.163391576688,1538.3357257292553,1482.5147802353617,1569.7324649257491,1542.0122654283462,1486.2826345515928,1400.0523458887149,1372.1682722722755,1316.4386413955513,1403.6410768982319,1375.759878899087,1320.115181094617,1234.0611401211509,1206.1354337403711,1150.490735935904,1237.6082383663315,1209.7686731315132,1153.8627945653843,1067.8087535919253,1040.0036210222638,984.2383494066711
17250,medium,4633.80955987632,2012.6929996066037,2065.515173760638,2468.413290983739,2465.0748871200854,1504.9740742410215,1480.6652858233292,1432.3507410206855,1357.7086038567545,1333.6184764127113,1285.21002566811,1492.669348959781,1468.5983394131044,1420.2925948943835,1345.5286336071863,1321.3851253090927,1273.0793807903976,1480.4646506363133,1456.2936141318592,1408.0592437907758,1333.4693629071091,1309.2468047212628,1261.012434380214,1468.326330048506,1444.2343434317154,1395.7545185094916,1321.1646376257886,1297.022253901487,1248.70770909893
120772,high,713.8822502062413,303.5141774976855,562.126505109628,392.078264299759,641.118101245462,239.1296527616319,235.2689736135594,227.58716250884504,215.7454086969811,211.90117095920493,204.21223049434357,406.9087009679127,403.08727366003575,395.4148017732399,383.53376895340534,379.68680046432735,372.01432857754554,574.7011644819279,570.866321866317,563.2004312783812,551.34244833547,547.4985192119459,539.8326286240248,742.5128832295467,738.6750012483608,730.9794794846571,719.121496541745,715.2934879349949,707.611676830293
519418,medium,483.63234049658263,205.62112588552708,476.019946375507,255.26741938889015,519.2797092740243,155.65670273722748,153.14285350143837,148.14499256643708,140.42462585757627,137.9336152177264,132.9261900217047,335.308887859004,332.81785967776295,327.82362225065424,320.09008531427486,317.59143968033567,312.5972022532216,514.9692601005966,512.4700447995375,507.4814467132635,499.76673688662305,497.26080651582856,492.2722084295583,694.638626936089,692.1466963718933,687.1336318350354,679.4189220083973,676.9222544863194,671.9243935513271
9194,medium,2240.5986926023893,952.6129401468318,1133.0726530725155,1193.3963535259904,1344.2152907462776,727.8565062174025,716.1001286715592,692.7323286555628,656.6357343800813,644.9818763798866,621.5719587892895,826.1065364926153,814.4659965381622,791.1036892569728,754.9461666263101,743.2659663171194,719.9036590359024,924.4036265201862,912.7160268133705,889.3877791941838,853.3119265349662,841.5977745216787,818.2695269024891,1022.7354347247524,1011.0817867220168,987.6378094693923,951.5619568101652,939.8873571937191,916.5195571776989
82039,high,12701.467565088522,6324.126557563875,5857.80193613355,6755.254238237507,6231.8093275993215,4135.103690365148,4068.2620708404447,3935.4514430246654,3730.405762007272,3664.278018243886,3531.280452119256,3748.618842446445,3682.5656406491494,3549.827872252803,3344.4478515410324,3277.9190786672175,3145.1813102708525,3362.362647672405,3296.0807927304545,3163.4689326761186,2958.474618034652,2892.0967401338994,2759.4848800795653,2976.540309139088,2910.107559224063,2776.9840847574087,2571.9897701159425,2505.8106599766343,2373.000032160854
405677,medium,5945.657603988402,2677.156938032753,2649.9713297851195,3215.1443260050673,3127.0228792237863,1955.4994653184503,1923.9350116717324,1861.1323668360073,1764.2271123222952,1732.840069303574,1669.9625285366258,1879.114486012457,1847.8490700260152,1785.0955797831857,1687.944647713039,1656.540087055994,1593.7865968131691,1802.8621748986561,1771.4640907199978,1708.7955975355744,1611.8537130480431,1580.3691483518505,1517.700655167448,1726.6912361945224,1695.3731560549843,1632.4106182295977,1535.4687337420405,1504.1183206971646,1441.3156758614364
315683,medium,1470.085583562101,625.0215867072627,844.923865684719,812.7281501491087,1012.934688693743,496.86750450863536,488.8486651003867,472.88659984310704,448.2850186401333,440.29397633479806,424.3208850345335,627.9803128524896,620.046529615694,604.0985455969536,579.4145980439154,571.4284009396576,555.480416920913,759.1352061125465,751.1593379595245,735.2329702018076,710.5957461913206,702.6046491939524,686.6782814362152,890.3114543668476,882.3404861069077,866.345778545639,841.7085545351448,833.7531550373466,817.7910897800552
74118,high,5682.521878811822,2565.727107334299,2551.957822028032,3021.54280614594,2950.765056610354,1847.1833378298927,1817.3542030420106,1758.0280375612695,1666.4342895507218,1636.8721345467245,1577.4594469767521,1786.1906154729031,1756.6681575465097,1697.3811492110012,1605.622024888438,1575.9583290909763,1516.67132075547,1725.3379048728757,1695.675435189566,1636.4673437552628,1544.912815568372,1515.193366694245,1455.985275259954,1664.5729424761637,1634.966225869479,1575.4746213983058,1483.92009321138,1454.3187183837745,1394.9925529030093
378729,medium,8853.766187148176,4221.4431083065265,4008.307845382017,4800.559818291534,4524.835807039502,2919.575085013224,2872.446196602816,2778.6804802540146,2634.005940467348,2587.1467433108087,2493.2644083752734,2706.043561019045,2659.3677021013755,2565.6768338600514,2420.6274891403605,2373.737029282519,2280.046161041194,2492.711434598191,2445.8361781071876,2352.2671198317385,2207.5310517721455,2160.5367248151365,2066.967666539705,2279.5111301308198,2232.7397407389476,2138.735595837573,1993.9995277779976,1947.2018588944043,1853.436142545554
500435,high,3059.387619768837,1300.7292404209186,1439.275148164952,1626.8986062341164,1724.97024714553,990.2894019013725,974.2928289588348,942.5033202131403,893.3852602838126,877.5333055942733,845.678042965961,1051.2073474193699,1035.3613316199292,1003.5805043749242,954.3820701722038,938.4937204228761,906.7128931778898,1112.180436134278,1096.2792771379166,1064.5409192035197,1015.4593896947198,999.519753773359,967.7813958389519,1173.2064694847568,1157.3565966604529,1125.4588647215483,1076.3773352127566,1060.488850102669,1028.6993413569853
227692,low,5017.381143301073,2236.7967751277297,2040.8061881593478,2684.947628411449,2435.0718387733573,1634.1075014292999,1607.7335628790524,1555.2519379515472,1474.254143866039,1448.0439622586518,1395.4967785499168,1482.3648344142111,1456.2288127130143,1403.795211386995,1322.6096750125892,1296.3710146127378,1243.93741328671,1330.7291102255801,1304.486145697917,1252.1222637410751,1171.1200291185605,1144.7965450775237,1092.4326631206818,1179.154640690373,1152.9964998038827,1100.3795967259687,1019.3773621034516,993.1716210330954,940.6899961055838
341084,high,10471.512167800625,5087.131962427982,4769.757638462861,5578.026071861661,5198.789408526114,3409.5141532809344,3354.4547719414118,3244.9538329910197,3075.892774257609,3021.3248628473184,2911.6612109376842,3126.2559689832137,3071.766605148672,2962.3309093251723,2792.9633469299533,2738.216099166775,2628.780403343316,2843.2621120382646,2788.508420850963,2679.222145644683,2510.231959952706,2455.3785117568955,2346.092236550631,2560.42452462833,2505.777033873798,2395.9639613470345,2226.9737756550862,2172.3349912033395,2062.8340522529134
501232,high,1206.3558757691603,512.894264142016,746.2968668613929,640.7876448745847,858.2417768160956,390.0380809965221,383.73803575092103,371.21647696355024,351.87122669800164,345.62762320656947,333.08142191302915,536.3472848356906,530.1064518845412,517.5894836629568,498.2122297851655,491.95328842186035,479.4363202002556,682.6782731477729,676.4156557237231,663.9151488782318,644.5835894484974,638.3052431793767,625.8047363338801,829.0302279052922,822.7870153870502,810.2243527174073,790.8927932876733,784.6354989604218,772.1139401730587
325525,medium,6767.129144836146,3146.6265188333928,3062.9101321751,3649.658647004342,3508.57003426714,2222.415191615567,2186.5391235475895,2115.1592974268765,2005.0221863075253,1969.3684850800812,1897.899642357142,2108.058451922248,2072.525783387923,2001.2128100463667,1890.7987968524994,1855.0970940572388,1783.7841207156805,1993.847167020058,1958.1690436946287,1886.9414190235366,1776.768623881519,1740.9984052271207,1669.7707805560426,1879.7484781899525,1844.1388707236501,1772.5846793302376,1662.411884188236,1626.7938669834368,1555.4140408627431
232491,low,6828.404191881908,3214.913517273945,2901.145890130931,3710.8516469032966,3343.8164053604783,2260.314922590363,2223.8490607313106,2151.2296945732332,2039.2699848749528,2002.9593219028782,1930.275350116718,2019.494760825703,1983.3622389447855,1910.849599839935,1798.5404163691612,1762.2176745145973,1689.705035409747,1778.838701483615,1742.5420771801282,1670.107952451673,1558.0486160385722,1521.6523383517028,1449.2182136232277,1538.2733653207238,1502.05027684953,1429.2877906870328,1317.2284542739242,1281.017418016635,1208.39805185858
306372,medium,7279.457556672899,3382.165634909789,3270.089071944486,3967.2281127123388,3792.872592918492,2421.6606773692256,2382.583170559935,2304.7888592175145,2184.8256349104236,2145.9397888404324,2068.069571054335,2278.9545834999967,2240.262978767431,2162.5485724757477,2042.2352953368338,2003.3374116601738,1925.6230053685001,2136.4533125639396,2097.556884898164,2019.9461952954593,1899.892446339978,1860.9135031786718,1783.3028135759664,1994.0294040824383,1955.2140359012942,1877.2401014262255,1757.1863524707205,1718.391031049179,1640.5967197067207
