building_id,income,annual_kwh,scaling_factor,pre_fixed_tou_bill,post_fixed_tou_bill,new_F0_WF0_ROE0_bill,new_F0_WF0_ROE0.5_bill,new_F0_WF1_ROE0_bill,new_F0_WF1_ROE0.5_bill,new_F25_WF0_ROE0_bill,new_F50_WF0_ROE0_bill,new_F50_WF1_ROE1.5_bill
110979,high,12588.058,0.8407500276235722,6755.31476396,6239.232717519999,4082.4520998000003,4016.8878466999845,3683.187179200005,3617.613466200005,3704.007640299994,3325.245763100007,2729.5330021999853
226833,high,4100.906,0.8407500276235722,2175.23642705,2206.24195839,1313.8931637999913,1292.8051130000026,1185.406485599997,1164.2914108000039,1328.9427250999952,1343.8974096999968,1152.1833997000024
424598,medium,7465.369000000001,0.7130643653791515,4040.11911554,3854.0361641800005,2440.568714799995,2401.3589053000064,2201.8738535000016,2162.6771777000017,2295.483294000003,2150.2051472000003,1794.0712115000056
447796,low,6072.768999999999,0.7130643653791515,3232.9312242399997,2915.1224397799997,1955.0243606999832,1923.632219099993,1763.8518677000075,1732.4286735999858,1757.869296899981,1560.559280599994,1275.3048363999912
38731,medium,6896.427000000001,0.7130643653791515,3667.1824778200003,3518.2869652400004,2225.408826100019,2189.6694977000025,2007.7716882999937,1972.026698399989,2110.9372699000146,1996.2024104000025,1671.5169668000049
116714,medium,6171.657000000001,0.7130643653791515,3288.38054463,3185.95589181,1990.8646011000462,1958.8940408999713,1796.1860370999923,1764.1878638999988,1909.690815600022,1828.3639795999998,1537.8760214999807
468921,medium,3080.1090000000004,0.7130643653791515,1688.77958282,1785.1344860000002,1024.7216740000042,1008.2584783999994,924.4849951000022,908.0353808999918,1080.87915100001,1136.939760199995,987.4125620000068
405842,low,13203.211,0.7130643653791515,7093.341101870001,6315.989685809999,4291.427602499984,4222.481547000012,3871.7214411000236,3802.8020785000076,3762.2179011000208,3232.623971899991,2606.425586699988
342082,low,6652.996000000001,0.7130643653791515,3550.7543007199993,3195.4791148600007,2149.528352099994,2115.007407799993,1939.3267282000043,1904.7852218999967,1924.7304505000077,1699.7576310000059,1386.116707299996
390437,high,8373.683,0.7130643653791515,4520.387598529999,4275.882827490001,2733.43089370002,2689.5157908000015,2466.0895902999923,2422.19693700002,2546.7362432999976,2359.7870184000203,1960.9302173000037
