building_id,puma,income,is_care,annual_kwh,scaling_factor,cec_cz,tou_d_4_9_bill,tou_d_4_9_f_bill,F0_WF0_ROE0_bill,F0_WF0_ROE1.0_bill,F0_WF1_ROE0_bill,F50_WF0_ROE0_bill,F50_WF1_ROE1.0_bill,F100_WF0_ROE0_bill,assigned_pv,assigned_battery,assigned_ev,assigned_hp,ev_daily_miles,native_annual_kwh,grid_import_kwh_s1_ev,grid_export_kwh_s1_ev,export_value_s1_ev,self_consumption_kwh_s1_ev,F0_WF0_ROE0_bill_s1_ev,F0_WF0_ROE1.0_bill_s1_ev,F0_WF1_ROE0_bill_s1_ev,F50_WF0_ROE0_bill_s1_ev,F50_WF1_ROE1.0_bill_s1_ev,F100_WF0_ROE0_bill_s1_ev,tou_d_4_9_bill_s1_ev,tou_d_4_9_f_bill_s1_ev,annual_kwh_s1,pv_size_kw_s2,solar_gen_kwh_s2,self_sufficiency_s2,grid_import_kwh_s2_pv_stor,grid_export_kwh_s2_pv_stor,export_value_s2_pv_stor,self_consumption_kwh_s2_pv_stor,F0_WF0_ROE0_bill_s2_pv_stor,F0_WF0_ROE1.0_bill_s2_pv_stor,F0_WF1_ROE0_bill_s2_pv_stor,F50_WF0_ROE0_bill_s2_pv_stor,F50_WF1_ROE1.0_bill_s2_pv_stor,F100_WF0_ROE0_bill_s2_pv_stor,tou_d_4_9_bill_s2_pv_stor,tou_d_4_9_f_bill_s2_pv_stor,pv_size_kw_s3,solar_gen_kwh_s3,self_sufficiency_s3,annual_kwh_s3,grid_import_kwh_s3_pv_ev_stor,grid_export_kwh_s3_pv_ev_stor,export_value_s3_pv_ev_stor,self_consumption_kwh_s3_pv_ev_stor,F0_WF0_ROE0_bill_s3_pv_ev_stor,F0_WF0_ROE1.0_bill_s3_pv_ev_stor,F0_WF1_ROE0_bill_s3_pv_ev_stor,F50_WF0_ROE0_bill_s3_pv_ev_stor,F50_WF1_ROE1.0_bill_s3_pv_ev_stor,F100_WF0_ROE0_bill_s3_pv_ev_stor,tou_d_4_9_bill_s3_pv_ev_stor,tou_d_4_9_f_bill_s3_pv_ev_stor,is_fully_electrified
<<<<<<< Updated upstream
233392,G06003759,high,False,5573.8189999999995,0.8648656126453748,8,2072.7937630000006,2100.6242700000003,2073.0474552000005,2046.1412502000005,1708.0596124999993,2450.8612433999992,1903.666064499999,2828.7957942,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233439,G06006519,high,False,19074.833,0.8407500276235722,10,8232.373900999997,7625.656749999998,8238.357522200004,8143.245320000003,6948.343733999999,7029.675192299999,6142.161528399998,5821.1640283,1,1,0,0,0.0,19074.833,,,,,,,,,,,,,,8.747644571942159,17167.3497,0.9,8110.8249179798895,5751.360079275725,1108.188247532053,11415.989620724275,1761.6512575106804,1727.1752896709108,1295.3533446841143,1965.9336132140086,1381.4410331967108,2170.21941864945,1761.3806095840396,1669.9718384389846,,,,,,,,,,,,,,,,,False
233499,G06003764,high,False,3500.706,0.8648656126453748,8,1178.5214219999996,1303.7882399999996,1178.0608787999997,1161.5585230999998,954.2454879000002,1798.0171983999999,1302.7677689999998,2418.0704129,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233502,G06006525,low,True,12851.082,0.8407500276235722,10,3651.650656200002,3315.9500797500004,3653.9706204,3610.4169311325,3063.0731163524993,2889.4234097774993,2569.6236588674983,2124.981228749999,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233534,G06005908,medium,False,6646.6359999999995,0.8648656126453748,8,2470.482462000001,2447.8905699999987,2466.7229361000004,2435.551195300001,2043.9762928000007,2745.4160936999997,2177.009436199999,3024.3019198999996,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233539,G06007103,high,False,13340.469,1.0497359105206039,14,5506.951643000001,5169.749600000003,5506.440079199997,5440.981081499998,4618.2521622999975,4986.798008999998,4247.1298187,4467.4489379000015,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233652,G06005906,high,False,12077.374,0.8648656126453748,8,5077.843977999997,4800.007400000002,5077.901780300001,5018.4925661,4271.963185799999,4699.341527600001,3989.9300143000005,4320.986442200001,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233710,G06006523,high,False,5865.735,0.8407500276235722,10,2060.8535449999986,2074.964,2060.614356699999,2032.5007884999989,1679.300151399999,2410.4271710000003,1857.2351542,2760.3716432,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233721,G06006515,low,True,737.54,1.4172145412832236,15,168.82817175000008,217.42971525,168.61012407000004,166.24581081750003,136.5592541175,362.6073350625,248.4093955875,556.6116720299999,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23374,G06006519,high,False,16547.821,0.8407500276235722,10,6758.111076999996,6270.163489999999,6757.1254208,6678.043739199999,5684.577777500001,5921.1831432,5113.7699833,5085.636823799999,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
