building_id,income,annual_kwh_prescaling,scaling_factor,new_F0_WF0_ROE0_bill,new_F0_WF0_ROE0.5_bill,new_F0_WF1_ROE0_bill,new_F25_WF0_ROE0_bill,new_F25_WF1_ROE0.5_bill
382854,high,6426.907999999999,0.7130643653791515,1479.822133346486,1456.0571941287465,1335.1180398632173,1471.2873095559642,1302.8884361135372
489070,low,12066.725999999999,0.8407500276235722,3315.7487322875527,3262.4794379049968,2991.4726315862326,2925.225325421834,2547.8224234271092
317510,low,3770.814,0.8407500276235722,1021.9573617340712,1005.5491094871155,922.0172964007262,957.4215211329551,841.1189805420104
19112,high,12383.599,0.7130643653791515,2854.0986609499855,2808.2702648291925,2574.967984629338,2650.268637564109,2325.412408042973
428362,high,8675.719,0.8407500276235722,2337.991844140072,2300.46800395066,2109.384615264184,2207.469358732583,1941.4350674781135
492434,medium,4099.922,0.8407500276235722,1116.133661721889,1098.207314736508,1006.9888381676918,1159.2919443282976,1032.2731448646111
345040,high,5544.779,0.7130643653791515,1289.018437839987,1268.3056845713807,1162.9529213101816,1307.6106089661055,1160.8985575334532
364612,medium,3474.7870000000003,0.8407500276235722,935.8003146735558,920.782136158327,844.2965258835708,1004.592829035148,898.1033539440216
547513,low,4379.602,0.7130643653791515,1013.1125799948032,996.8399121714988,914.0371738398387,949.8316098356073,834.534209633848
193546,medium,5684.870000000001,0.7130643653791515,1305.8696148542338,1284.9062187481347,1178.170183279354,1322.0522610560772,1173.4450512546905
191858,low,2865.6250000000005,0.7130643653791515,659.3067267441409,648.7191894030163,594.8349603799124,646.3153066360012,571.2864609758695
179059,high,9184.803,0.8407500276235722,2489.8710011107787,2449.8906764915814,2246.394778338273,2337.7669419739173,2054.426360074293
158117,medium,7766.382,0.8407500276235722,2095.366010426124,2061.7417000218243,1890.5001611363246,1999.3544158275288,1760.93737195958
277267,medium,1887.447,0.7130643653791515,441.12993199557246,434.04559267378215,397.97776705142934,580.2325195225219,530.010483760399
41682,high,7977.081,0.7130643653791515,1854.5186791597039,1824.7226934506702,1673.1491109320586,1792.7212871975364,1581.6553720977483
178374,medium,9517.489,0.7130643653791515,2254.5281849997145,2218.2923875110337,2034.0128861098224,2135.8911237148395,1879.2453095784592
48076,low,8633.868999999999,0.7130643653791515,1990.5812022875618,1958.6146988500473,1795.9196578567487,1788.3783163317253,1561.8367316534723
119513,medium,1032.572,0.7130643653791515,240.00903682321066,236.15448161451062,216.533042053592,407.69386398434006,380.3723830438462
110432,medium,6066.332,0.7130643653791515,1396.2536677798907,1373.8364565076915,1259.7145735027211,1399.610544679939,1240.7037646595343
128883,high,8554.28,0.7130643653791515,1979.5575381661693,1947.7581550535172,1785.971791518987,1900.0052101637602,1674.7117279997726
462474,high,17320.96,0.8407500276235722,4760.658167839858,4684.170996880831,4295.0908311551875,4285.849332474002,3744.007093193536
149270,low,7564.845,0.7130643653791515,1747.2626749451929,1719.2052127489067,1576.4035596615824,1579.625347007209,1380.7902720712111
335892,low,5978.1900000000005,0.7130643653791515,1400.88318348008,1378.3851929964744,1263.856089129254,1282.499470888499,1123.0264337630038
456213,high,5509.356000000001,0.7130643653791515,1269.027090934159,1248.6463785830174,1144.9280486933758,1290.450959808253,1146.0318422846858
88997,medium,4237.122,0.8407500276235722,1153.7402292758625,1135.2184579082648,1040.9180983597166,1191.5546066752413,1060.2575915071893
281036,high,7281.313,0.7130643653791515,1678.69070911597,1651.7319147453975,1514.5201444963404,1641.8924404398497,1450.8397052784678
94883,high,3866.197,0.8407500276235722,1044.0779025564605,1027.3186729048452,941.9777638397208,1097.4775588256077,978.658430098777
394378,low,5445.42,0.8407500276235722,1475.8244469005683,1452.1271486791743,1331.4993446849148,1346.775632643848,1178.8214204811163
514969,high,8667.153999999999,0.7130643653791515,2011.3619910951556,1979.0640643252216,1814.6562577006348,1927.2768925429432,1698.3564340834673
539524,low,10874.734,0.7130643653791515,2521.6582272128176,2481.1489414283774,2275.02700790621,2243.979140691165,1956.9570973396674
23443,medium,5081.691,0.7130643653791515,1169.0242503762147,1150.2531076978896,1054.7111220110141,1204.6634365104644,1071.6319462773438
233537,high,9817.812,0.7130643653791515,2308.6674382129963,2271.560458828222,2082.8587776696836,2182.338552117923,1919.5410158997656
228035,medium,411.4480000000001,0.7130643653791515,94.06442626177974,92.55456238259514,84.86602515565141,282.4906318760918,271.7859824123375
521025,medium,2611.65,0.7130643653791515,603.2006295892675,593.5123817866989,544.2149746618901,719.2618904823944,650.6167913457307
156960,high,13102.169,0.7130643653791515,3040.942068562833,2992.0988031477264,2743.524705351086,2810.5410831633108,2464.41156760659
500441,high,14883.109,0.7130643653791515,3461.2669833211153,3405.648221521291,3122.7517632966446,3171.116421666085,2777.1626714237577
169424,medium,3693.4700000000003,0.7130643653791515,852.3196436154445,838.6285816874536,768.9727144546233,932.9704706799655,835.9766090768385
205449,medium,17328.353,0.8407500276235722,4799.875772525562,4722.7448724800115,4330.4327088661,4319.479947999072,3773.1252137312104
257575,high,6683.8589999999995,0.7130643653791515,1538.92045900379,1514.2129180761813,1388.446083031018,1521.9834068373668,1346.8676310065657
399366,medium,4615.9580000000005,0.7130643653791515,1066.6953172039825,1049.5630767429009,962.3823147369009,1116.885340200361,995.486591707157
282035,high,10453.195999999998,0.7130643653791515,2409.112760095608,2370.421140623906,2173.521846263937,2268.5001012064786,1994.3295785493435
300117,low,7026.202000000001,0.7130643653791515,1623.8231411584177,1597.7558585055322,1465.0195189475437,1473.7476626969483,1288.9372492224961
19713,medium,3872.512,0.8407500276235722,1052.232790490871,1035.3327133501336,949.3383937096831,1104.4713211994685,984.728253172405
345688,high,4374.907,0.7130643653791515,1013.5585236748004,997.2775045129539,914.4382064442954,1071.2913867364389,955.9418561815878
263548,low,13290.118,0.7130643653791515,3085.4256290697663,3035.8517508465475,2783.6648424197965,2727.650568024858,2376.45203690801
410770,medium,9185.307999999999,0.7130643653791515,2140.887160514859,2106.499290649683,1931.5045793146742,2038.3961964170808,1794.7218138040216
347644,medium,7921.903,0.7130643653791515,1827.3914139916665,1798.042369111838,1648.683188869787,1769.4596770120318,1561.4864890645638
250814,high,8192.954,0.7130643653791515,1896.399135165929,1865.955776217481,1710.9355940939413,1828.6569327202394,1612.822943174634
250213,low,2755.716,0.7130643653791515,649.6436148882904,639.2030550159146,586.0953125846543,638.0345428563105,564.0732115963002
287756,high,8120.066,0.7130643653791515,1856.0461313419128,1826.2541058497502,1674.55447915035,1794.0315767681711,1582.8244883296447
454093,high,8634.482,0.7130643653791515,1992.5932687712052,1960.5923276762444,1797.7243492502967,1911.1858819311842,1684.4027275890332
453166,high,12245.403,0.8407500276235722,3370.8691081078073,3316.6838468371534,3041.1975635501644,3093.5794394480668,2709.9078329428794
320213,medium,7189.041,0.7130643653791515,1664.7703818775462,1638.030292405463,1501.9465116879687,1629.9622746329899,1440.4694959798449
203023,medium,1688.278,0.7130643653791515,401.3090503863343,394.85186443689355,362.0560534516054,546.0715704834518,500.38580370752055
54574,low,5750.661,0.8407500276235722,1560.081468680906,1535.027341749461,1407.5253845999405,1419.0612615265584,1241.5250188608254
339714,high,15894.504999999997,0.8407500276235722,4351.461449180368,4281.576278658936,3925.911492163455,3934.773482967328,3439.5287505031847
381876,high,12394.405,0.8407500276235722,3347.6221821045347,3293.90426140536,3020.3005139483207,3073.6087813620657,2692.686185647498
303502,high,18666.072999999997,0.8407500276235722,5107.885608778318,5025.838367708959,4608.319727625571,4583.70259294366,4002.320392301193
180718,medium,13045.84,0.7130643653791515,3042.0337633321165,2993.1476352614754,2744.5240465907978,2811.515207238275,2465.2526767974455
20783,high,8805.924,0.8407500276235722,2438.3072349988756,2399.1247824921984,2199.8127014709066,2293.558016495444,2015.9933840907422
