building_id,income,annual_kwh,pre_fixed_bill,post_fixed_bill,pre_fixed_tou_bill,post_fixed_tou_bill
399010,high,11151.0,5493.5179807899995,5127.2083803,5972.48271521,5549.13522125
167265,medium,7930.905000000001,3769.6952701599994,3610.954108050001,4213.62328861,3997.9484457900007
49240,medium,8510.637999999999,4079.7679815399997,3883.69044506,4547.612248189999,4294.45908569
17825,high,17057.03,8656.285907090001,7909.1419744,9110.73146428,8307.035912979998
492696,low,4387.523000000001,1898.9658742799998,1743.65410831,2362.28990909,2152.7377151700002
463368,high,5885.6,2657.0675797,2632.3005009999997,3188.17294326,3103.8270898
512778,high,14607.906,7345.22312748,6755.94650322,7972.34277736,7325.254829640001
34369,high,20323.281000000003,10404.780953099998,9447.097745370002,10808.619080289998,9793.90309883
399142,low,2662.262,1131.88731192,1068.93476014,1411.76762953,1313.63469473
495294,high,4599.659,1974.3624460600004,2031.8008396300002,2449.21706281,2448.10926061
234902,low,4402.515,1896.4780185399998,1741.4662243500002,2336.8309437899998,2126.73721501
66594,low,5057.157000000001,2230.96135349,2035.6744641900002,2688.4767031999995,2436.0423714200006
135667,high,15622.953999999998,7889.025436260001,7234.26863078,8469.350796429999,7757.44598999
148322,medium,10688.207999999999,5246.010057479999,4909.503299759999,5691.53217348,5298.2060798
412598,medium,7059.999,3304.26991062,3201.5713806300005,3809.08263564,3649.1636896200002
524754,medium,15014.286,7520.1188784,6909.78440022,8016.665184330001,7344.75312705
412883,medium,4276.71,1822.0898631899997,1897.8628650000003,2273.01408846,2292.6999003799997
510902,low,5467.63,2451.5030038799996,2229.6602867000006,2894.82655694,2616.0357987
135451,medium,11352.29,5601.660702339999,5222.3294371,6188.71841183,5751.875182169999
165568,low,5843.099,2651.8974395,2405.92490923,3134.83525581,2831.63819479
252032,medium,13216.052000000001,6386.54261788,5912.71057564,7121.19791114,6564.6697139
508432,low,6919.996999999999,3230.0724569799995,2914.48082029,3757.27788154,3384.32348906
394706,medium,9366.501000000002,4538.796667670001,4287.44666967,5133.428682209999,4824.2736235699995
220046,high,6556.121000000001,2997.9565371699996,2932.1431320700003,3495.3685420499996,3368.2077227100003
102003,medium,6330.2570000000005,2912.5398835,2857.01027689,3378.7199782499997,3266.09409591
465907,low,6760.821,3143.0289723099995,2837.9184608700007,3608.2213756399997,3246.0969763999997
525278,medium,5421.446,2383.38446186,2391.57300562,2910.77537209,2856.52519883
124247,low,2424.159,1030.65544044,979.8913812300001,1295.53285814,1212.6522427799998
443234,high,4668.915,2040.9542272799997,2090.37305415,2507.78368338,2502.05286512
314300,low,5942.951,2705.27618489,2452.87623157,3224.3431073999996,2914.4553775400004
235303,high,15605.122000000001,7878.616139579999,7225.112768540001,8419.837276489998,7709.390756049999
430070,low,6037.454000000001,2755.7825263399995,2497.3010213800003,3213.35518428,2897.77417472
381958,medium,15197.954,7660.280138209999,7033.066992280001,8160.660992839999,7476.731462080002
477981,high,3679.0620000000004,1651.3656480299999,1747.6900988400002,1993.2097615600003,2051.1924611599998
317523,medium,4732.333,2043.61440352,2092.71411881,2514.7078064799994,2505.05717022
478097,medium,10388.4,5085.10797456,4767.975727200001,5571.278650609999,5196.903836770001
184918,low,6347.5869999999995,2922.18754394,2643.6689117900005,3387.7718869200003,3051.9772123000002
85096,high,18815.267,9598.12940615,8737.57646509,10190.882850940001,9273.165525059998
106977,medium,3439.1630000000005,1464.7152306799999,1583.5168191100004,1857.0387308399997,1930.4547817
328326,medium,3777.2260000000006,1610.7973439,1712.01027902,2007.95065157,2059.7797446299996
394310,medium,8749.307999999999,4165.367294629999,3958.9842222599996,4763.227692060001,4494.27305036
301665,medium,9377.558,4544.2174024,4292.21470366,5030.67983941,4721.549878690001
