zip_code,utility,acronym,type,climate_zone,city,county,utility_baseline_territory,summer_baseline_allowance,winter_baseline_allowance,puma,percentpuma,,,,,,,,,,,,,,,
90245,Los Angeles Department of Water & Power,LADWP,POU,6,El Segundo,Los Angeles County,Zone 1,11.66667,11.66667,3760,0.988449156,,,,,,,,,,,,,,,
90247,Los Angeles Department of Water & Power,LADWP,POU,8,Gardena,Los Angeles County,Zone 1,11.66667,11.66667,3758,0.893036028,,,,,,,,,,,,,,,
90248,Los Angeles Department of Water & Power,LADWP,POU,8,Gardena,Los Angeles County,Zone 1,11.66667,11.66667,3762,0.4958002,,,,,,,,,,,,,,,
90249,Southern California Edison,SCE,IOU,8,Gardena,Los Angeles County,8,12.8,10.3,3758,0.996231377,,,,,,,,,,,,,,,
90250,Southern California Edison,SCE,IOU,8,Hawthorne,Los Angeles County,8,12.8,10.3,3759,0.962316173,,,,,,,,,,,,,,,
90254,Southern California Edison,SCE,IOU,6,Hermosa Beach,Los Angeles County,6,11.4,11,3760,1,,,,,,,,,,,,,,,
90255,Southern California Edison,SCE,IOU,8,Huntington Park,Los Angeles County,8,12.8,10.3,3742,0.942523138,,,,,,,,,,,,,,,
90260,Southern California Edison,SCE,IOU,8,Lawndale,Los Angeles County,8,12.8,10.3,3758,0.95826614,,,,,,,,,,,,,,,
90262,Southern California Edison,SCE,IOU,8,Lynwood,Los Angeles County,8,12.8,10.3,3752,0.986924977,,,,,,,,,,,,,,,
90263,Southern California Edison,SCE,IOU,6,Malibu,Los Angeles County,6,11.4,11,3774,1,,,,,,,,,,,,,,,
90265,Southern California Edison,SCE,IOU,6,Malibu,Los Angeles County,6,11.4,11,3774,0.807811501,,,,,,,,,,,,,,,
90266,Southern California Edison,SCE,IOU,6,Manhattan Beach,Los Angeles County,6,11.4,11,3760,0.998631453,,,,,,,,,,,,,,,
90270,Southern California Edison,SCE,IOU,8,Maywood,Los Angeles County,8,12.8,10.3,3741,0.959040449,,,,,,,,,,,,,,,
90272,Los Angeles Department of Water & Power,LADWP,POU,6,Pacific Palisades,Los Angeles County,Zone 1,11.66667,11.66667,3774,0.999390164,,,,,,,,,,,,,,,
90274,Southern California Edison,SCE,IOU,6,Palos Verdes Peninsula,Los Angeles County,6,11.4,11,3768,1,,,,,,,,,,,,,,,
90275,Los Angeles Department of Water & Power,LADWP,POU,6,Rancho Palos Verdes,Los Angeles County,Zone 1,11.66667,11.66667,3768,0.992348623,,,,,,,,,,,,,,,
90277,Southern California Edison,SCE,IOU,6,Redondo Beach,Los Angeles County,6,11.4,11,3760,0.759670668,,,,,,,,,,,,,,,
90278,Southern California Edison,SCE,IOU,6,Redondo Beach,Los Angeles County,6,11.4,11,3760,0.960156476,,,,,,,,,,,,,,,
90280,Southern California Edison,SCE,IOU,8,South Gate,Los Angeles County,8,12.8,10.3,3752,0.971170246,,,,,,,,,,,,,,,
90290,Southern California Edison,SCE,IOU,6,Topanga,Los Angeles County,6,11.4,11,3774,0.983783417,,,,,,,,,,,,,,,
90291,Los Angeles Department of Water & Power,LADWP,POU,6,Venice,Los Angeles County,Zone 1,11.66667,11.66667,3748,0.541646894,,,,,,,,,,,,,,,
90292,Los Angeles Department of Water & Power,LADWP,POU,6,Marina del Rey,Los Angeles County,Zone 1,11.66667,11.66667,3748,1,,,,,,,,,,,,,,,
90293,Los Angeles Department of Water & Power,LADWP,POU,6,Playa del Rey,Los Angeles County,Zone 1,11.66667,11.66667,3748,0.998436173,,,,,,,,,,,,,,,
90301,Southern California Edison,SCE,IOU,8,Inglewood,Los Angeles County,8,12.8,10.3,3778,0.999668867,,,,,,,,,,,,,,,
90302,Southern California Edison,SCE,IOU,8,Inglewood,Los Angeles County,8,12.8,10.3,3778,0.944333083,,,,,,,,,,,,,,,
90303,Southern California Edison,SCE,IOU,8,Inglewood,Los Angeles County,8,12.8,10.3,3778,0.939895015,,,,,,,,,,,,,,,
90304,Southern California Edison,SCE,IOU,8,Inglewood,Los Angeles County,8,12.8,10.3,3759,0.776943921,,,,,,,,,,,,,,,
90305,Southern California Edison,SCE,IOU,8,Inglewood,Los Angeles County,8,12.8,10.3,3778,0.993978976,,,,,,,,,,,,,,,
90401,Southern California Edison,SCE,IOU,6,Santa Monica,Los Angeles County,6,11.4,11,3728,1,,,,,,,,,,,,,,,
90402,Los Angeles Department of Water & Power,LADWP,POU,6,Santa Monica,Los Angeles County,Zone 1,11.66667,11.66667,3728,0.78523632,,,,,,,,,,,,,,,
90403,Los Angeles Department of Water & Power,LADWP,POU,6,Santa Monica,Los Angeles County,Zone 1,11.66667,11.66667,3728,0.991723087,,,,,,,,,,,,,,,
90404,Southern California Edison,SCE,IOU,6,Santa Monica,Los Angeles County,6,11.4,11,3728,0.996987245,,,,,,,,,,,,,,,
90405,Los Angeles Department of Water & Power,LADWP,POU,6,Santa Monica,Los Angeles County,Zone 1,11.66667,11.66667,3728,0.996102152,,,,,,,,,,,,,,,
90501,Los Angeles Department of Water & Power,LADWP,POU,6,Torrance,Los Angeles County,Zone 1,11.66667,11.66667,3761,0.694974665,,,,,,,,,,,,,,,
90502,Los Angeles Department of Water & Power,LADWP,POU,6,Torrance,Los Angeles County,Zone 1,11.66667,11.66667,3762,0.742742597,,,,,,,,,,,,,,,
90503,Southern California Edison,SCE,IOU,6,Torrance,Los Angeles County,6,11.4,11,3761,0.998091136,,,,,,,,,,,,,,,
90504,Southern California Edison,SCE,IOU,8,Torrance,Los Angeles County,8,12.8,10.3,3761,0.986688461,,,,,,,,,,,,,,,
90505,Southern California Edison,SCE,IOU,6,Torrance,Los Angeles County,6,11.4,11,3761,0.697053851,,,,,,,,,,,,,,,
90506,Southern California Edison,SCE,IOU,8,Torrance,Los Angeles County,8,12.8,10.3,3758,0.993488668,,,,,,,,,,,,,,,
90601,Southern California Edison,SCE,IOU,9,Whittier,Los Angeles County,9,16.9,12,3739,0.883816939,,,,,,,,,,,,,,,
90602,Southern California Edison,SCE,IOU,9,Whittier,Los Angeles County,9,16.9,12,3739,0.968975729,,,,,,,,,,,,,,,
90603,Southern California Edison,SCE,IOU,9,Whittier,Los Angeles County,9,16.9,12,3739,0.998746168,,,,,,,,,,,,,,,
90604,Southern California Edison,SCE,IOU,9,Whittier,Los Angeles County,9,16.9,12,3754,0.99242377,,,,,,,,,,,,,,,
