building_id,income,annual_kwh,baseline_bill_tou_dr,rate_scenario,s1_upfront,s1_bill,s1_bill_delta,s1_fuel_savings,s1_net_annual_savings,s1_payback,s2_upfront,s2_bill,s2_bill_savings,s2_net_annual_savings,s2_payback,s3_upfront,s3_bill,s3_bill_delta,s3_gas_savings,s3_fuel_savings,s3_net_annual_savings,s3_payback,s4_upfront,s4_bill,s4_bill_delta,s4_gas_savings,s4_fuel_savings,s4_net_annual_savings,s4_payback
172611,medium,6291.1592622015005,2847.297663891405,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
172771,medium,4339.51006967521,1831.527572161331,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
172792,low,5851.512576256527,1626.1204244432045,tou_dr,10000.0,2142.103793566709,515.9833691235046,2640.0,2124.0166308764956,4.708061064415209,,,,,,,,,,,,,,,,,,,
172993,low,525.0021509994015,133.17805185679885,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
173204,high,5956.648065051993,2672.370298129738,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
173383,low,7318.499747786287,2148.5555947975568,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
173403,low,4670.486025509596,1296.3326554632586,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
173451,low,6042.585869303122,1704.185468163147,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
173671,medium,4813.568094937846,2061.0721964118206,tou_dr,10000.0,2403.6932256627542,342.6210292509336,2640.0,2297.3789707490664,4.352786426324549,,,,,,,,,,,,,,,,,,,
173918,high,16551.807960074024,8205.040561489433,tou_dr,,,,,,,26739.26612034206,3482.093767641153,4722.94679384828,4722.94679384828,5.661564122460668,,,,,,,,,,,,,,
173925,medium,6145.720646854101,2753.650663087259,tou_dr,10000.0,3079.8749439693943,326.2242808821352,2640.0,2313.775719117865,4.321940072831491,,,,,,,,,,,,,,,,,,,
1740,medium,6130.771252433927,2717.6901600165934,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
174144,medium,2488.349341031548,1043.2170568006948,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
174279,high,4591.135802345754,2016.694264907965,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
174614,low,5368.282969761615,1519.1495514607066,tou_dr,10000.0,2735.177090494617,1216.0275390339104,2640.0,1423.9724609660896,7.022607721792268,,,,,,,,,,,,,,,,,,,
174675,high,13112.08016130878,6367.888259958791,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
174750,low,4831.481697924902,1317.8373200821634,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
174879,high,4222.107587237359,1793.7970282115707,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
174940,high,10659.489386140667,5056.399852278953,tou_dr,,,,,,,20210.62594678153,2525.98970924688,2530.4101430320734,2530.4101430320734,7.987094899392108,,,,,,,,,,,,,,
