building_id,puma,income,is_care,annual_kwh,scaling_factor,tou_dr_bill,tou_dr_f_bill,F0_WF0_ROE0_bill,F0_WF0_ROE1.0_bill,F0_WF1_ROE0_bill,F50_WF0_ROE0_bill,F50_WF1_ROE1.0_bill,F100_WF0_ROE0_bill
314842,G06007308,medium,False,5175.202,0.8407500276235722,2278.2838936010135,2300.787882449688,2278.3156236210166,2231.732951421017,2005.819597821017,2588.7145048210173,2269.774852021017,2899.272444921017
314878,G06007326,high,False,18495.112999999998,0.8407500276235722,9315.102541668126,8475.34834313524,9315.169534688132,9151.528839888131,8357.624438288132,7633.262641188132,6512.524166488132,5951.981639688131
315078,G06007326,low,True,6142.434,0.8407500276235722,1707.9124976541455,1733.6315484497595,1707.911772530444,1674.4151114514439,1511.7154168464442,1578.398445953444,1348.7425373244441,1449.041863061444
315107,G06007316,medium,False,4370.521000000001,0.7130643653791515,1819.7740316494906,1890.0020962492986,1819.78021382949,1781.5054376294897,1595.7577198294903,2271.0667801294903,2008.8560366294898,2722.49380382949
315470,G06007330,high,False,7151.611,0.7130643653791515,3276.149383398129,3167.7272756052375,3276.1562708881324,3213.446908688132,2909.157575888132,3311.712912888132,2882.190335088132,3347.441368188132
315639,G06007308,medium,False,4171.139999999999,0.8407500276235722,1720.5512309200024,1802.2913446799998,1720.5520132,1684.1379341,1507.3876948999998,2203.3803132,1953.8676435999998,2686.3443811999996
315683,G06007310,medium,False,2061.6450000000004,0.7130643653791515,909.3291590700032,1097.6513311700023,909.3403757200001,890.4877569199998,798.9827723199999,1691.2512545199997,1562.0790821199998,2473.2337694199996
315747,G06007327,low,True,5366.1269999999995,0.7130643653791515,1485.167946631824,1521.534792165667,1485.1772573955232,1455.3435053355229,1310.5819421655233,1418.5276102215232,1214.1661385295233,1351.9878779505232
31595,G06007308,low,True,4971.669,0.8407500276235722,1350.442655157769,1389.5252809951028,1350.450081780469,1322.8829580844688,1189.0700711074692,1322.223903648469,1133.3269405264691,1294.1192930254692
3160,G06007310,high,False,14557.861,0.7130643653791515,7240.228879318125,6653.902097205237,7240.2318866881305,7111.358717988131,6485.688572888132,6148.469439088132,5265.224750088131,5057.138999088133
316060,G06007314,low,True,9389.187,0.7130643653791515,2860.9650119724247,2868.286703747667,2860.992937207523,2808.171093160523,2551.850661331523,2403.0735234255235,2041.2251050815235,1945.3795943925231
31626,G06007322,medium,False,6352.816,0.7130643653791515,2871.845580788133,2814.9176281552395,2871.865534488132,2815.910755488132,2544.421945788132,3022.382062388132,2639.1198367881316,3173.1187623881315
