building_id,puma,income,is_care,annual_kwh,scaling_factor,cec_cz,tou_d_4_9_bill,tou_d_4_9_f_bill,F0_WF0_ROE0_bill,F0_WF0_ROE1.0_bill,F0_WF1_ROE0_bill,F50_WF0_ROE0_bill,F50_WF1_ROE1.0_bill,F100_WF0_ROE0_bill,assigned_pv,assigned_battery,assigned_ev,assigned_hp,ev_daily_miles,native_annual_kwh,pv_size_kw_s2,solar_gen_kwh_s2,self_sufficiency_s2,grid_import_kwh_s2_pv_stor,grid_export_kwh_s2_pv_stor,export_value_s2_pv_stor,self_consumption_kwh_s2_pv_stor,F0_WF0_ROE0_bill_s2_pv_stor,F0_WF0_ROE1.0_bill_s2_pv_stor,F0_WF1_ROE0_bill_s2_pv_stor,F50_WF0_ROE0_bill_s2_pv_stor,F50_WF1_ROE1.0_bill_s2_pv_stor,F100_WF0_ROE0_bill_s2_pv_stor,tou_d_4_9_bill_s2_pv_stor,tou_d_4_9_f_bill_s2_pv_stor,is_fully_electrified,grid_import_kwh_s1_ev,grid_export_kwh_s1_ev,export_value_s1_ev,self_consumption_kwh_s1_ev,F0_WF0_ROE0_bill_s1_ev,F0_WF0_ROE1.0_bill_s1_ev,F0_WF1_ROE0_bill_s1_ev,F50_WF0_ROE0_bill_s1_ev,F50_WF1_ROE1.0_bill_s1_ev,F100_WF0_ROE0_bill_s1_ev,tou_d_4_9_bill_s1_ev,tou_d_4_9_f_bill_s1_ev,annual_kwh_s1,pv_size_kw_s3,solar_gen_kwh_s3,self_sufficiency_s3,annual_kwh_s3,grid_import_kwh_s3_pv_ev_stor,grid_export_kwh_s3_pv_ev_stor,export_value_s3_pv_ev_stor,self_consumption_kwh_s3_pv_ev_stor,F0_WF0_ROE0_bill_s3_pv_ev_stor,F0_WF0_ROE1.0_bill_s3_pv_ev_stor,F0_WF1_ROE0_bill_s3_pv_ev_stor,F50_WF0_ROE0_bill_s3_pv_ev_stor,F50_WF1_ROE1.0_bill_s3_pv_ev_stor,F100_WF0_ROE0_bill_s3_pv_ev_stor,tou_d_4_9_bill_s3_pv_ev_stor,tou_d_4_9_f_bill_s3_pv_ev_stor
34770,G06006514,low,True,9570.493,0.8407500276235722,10,2602.5487069249994,2370.924816500001,2593.8096290324993,2557.3437819225,2097.949254749999,1971.536559952499,1439.2023196274995,1349.34430842,1,1,1,0,25.22143117535326,9570.493,4.388991040826435,8613.4437,0.8999999999999999,3125.1020728822464,1838.0593153960262,923.6360529673766,6775.384384603974,0.0,0.0,0.0,228.28319999999997,228.28319999999997,456.56639999999993,11.315,83.315,False,12639.100459667981,0.0,0.0,0.0,3431.4984806961993,3384.7294267367574,2795.6090357960256,2568.963662203821,1886.3839691885282,1706.5964860357658,3440.2375585886984,3111.262096505731,12639.100459667981,4.388991040826435,8613.4437,0.6814918298565583,12639.100459667981,5525.439490932357,1224.58727642837,882.0793907688372,7388.856423571629,288.68225003429836,270.85762798903795,47.379442679817885,228.28319999999997,228.28319999999997,456.56639999999993,299.99725003429836,196.70268218446967
34778,G06005914,medium,False,3926.0950000000003,0.8536704995961909,6,1331.5465350000022,1436.8200699999995,1318.3967065000002,1297.4403421999998,1033.1966131,1749.6185431,1443.4731594,2180.9334237000003,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347782,G06003737,high,False,6751.6810000000005,0.995376512581759,9,2453.042877000001,2425.5138699999998,2441.973810000001,2405.7116606000013,1948.266808700001,2515.5105894999997,1985.4776408999996,2589.1728120000002,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347860,G06003712,medium,False,4653.975,0.995376512581759,9,1671.2816450000014,1742.3448199999982,1659.2049481000001,1633.1753497999998,1305.1609061999998,1972.3808818,1592.3185008000003,2285.6327138000006,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34793,G06005924,high,False,21075.103000000003,0.8648656126453748,8,9025.751651000004,8325.021809999998,9017.331093199999,8901.3356575,7440.711620599998,7233.326777799999,5540.8302681,5449.790095200001,1,1,0,0,0.0,21075.103000000003,9.531514767459823,18967.592700000005,0.9000000000000001,7610.922268870694,5006.691970376402,1081.452743158391,13960.900729623601,1464.0905066243927,1427.945061282042,974.8043666803405,1545.1284234293623,1020.0466529345874,1840.9956000000002,1475.4055066243927,1407.4921599874708,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347997,G06006502,low,True,3458.034,1.4172145412832236,15,811.3314178999976,773.625289249999,799.8761907675,787.3828544475,629.7224585399998,736.2512642699999,553.5877361174998,672.666528015,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348013,G06003780,high,False,4352.605,0.8536704995961909,6,1507.339915000001,1592.5674800000027,1497.4441481000006,1474.2023765000004,1180.9674097000004,1875.0088733000002,1535.2617356,2252.6615020000004,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348015,G06011102,medium,False,781.6600000000001,0.8536704995961909,6,,,337.2860423,333.1314948,280.9021401,1161.0592145,1100.5458103,1984.8610088000003,1,1,0,0,0.0,781.6600000000001,3.0,5725.504840945009,1.0,634.5497084960233,5120.944309553281,1280.326369537052,604.5605313917285,0.0,0.0,0.0,920.4972,920.4972,1840.9956000000002,11.315,301.11499999999995,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348043,G06005907,low,True,8091.804,0.8648656126453748,8,2127.771430400001,1943.0589485000035,2114.9340083325005,2085.508772347501,1714.6652475600006,1656.5618328075007,1226.8852332299996,1198.3107363524996,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348044,G06007104,medium,False,1423.708,1.0497359105206039,14,479.849916000001,702.7356400000001,468.4634512000001,460.96502080000005,366.36181639999995,1213.801716,1104.1736088,1959.1735340000002,1,1,0,0,0.0,1423.708,3.0,5555.860549730299,1.0,652.89413870169,4339.900369801842,1218.3122603322574,1215.9601799284565,0.0,0.0,0.0,920.4972,920.4972,1840.9956000000002,11.315,301.11499999999995,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
