building_id,puma,income,is_care,annual_kwh,scaling_factor,e_tou_c_bill,e_tou_c_f_bill,F0_WF0_ROE0_bill,F0_WF0_ROE1.0_bill,F0_WF1_ROE0_bill,F50_WF0_ROE0_bill,F50_WF1_ROE1.0_bill,F100_WF0_ROE0_bill,assigned_pv,assigned_battery,assigned_ev,assigned_hp,ev_daily_miles,baseline_gas_therms,gas_savings_therms,pv_size_kw_s2,grid_import_kwh_s2_pv_stor,grid_export_kwh_s2_pv_stor,export_value_s2_pv_stor,self_consumption_kwh_s2_pv_stor,self_sufficiency_s2_pv_stor,F0_WF0_ROE0_bill_s2_pv_stor,F0_WF0_ROE1.0_bill_s2_pv_stor,F0_WF1_ROE0_bill_s2_pv_stor,F50_WF0_ROE0_bill_s2_pv_stor,F50_WF1_ROE1.0_bill_s2_pv_stor,F100_WF0_ROE0_bill_s2_pv_stor,e_tou_c_bill_s2_pv_stor,e_tou_c_f_bill_s2_pv_stor,grid_import_kwh_s1_ev,grid_export_kwh_s1_ev,export_value_s1_ev,self_consumption_kwh_s1_ev,self_sufficiency_s1_ev,F0_WF0_ROE0_bill_s1_ev,F0_WF0_ROE1.0_bill_s1_ev,F0_WF1_ROE0_bill_s1_ev,F50_WF0_ROE0_bill_s1_ev,F50_WF1_ROE1.0_bill_s1_ev,F100_WF0_ROE0_bill_s1_ev,e_tou_c_bill_s1_ev,e_tou_c_f_bill_s1_ev,pv_size_kw_s3,grid_import_kwh_s3_pv_stor_ev,grid_export_kwh_s3_pv_stor_ev,export_value_s3_pv_stor_ev,self_consumption_kwh_s3_pv_stor_ev,self_sufficiency_s3_pv_stor_ev,F0_WF0_ROE0_bill_s3_pv_stor_ev,F0_WF0_ROE1.0_bill_s3_pv_stor_ev,F0_WF1_ROE0_bill_s3_pv_stor_ev,F50_WF0_ROE0_bill_s3_pv_stor_ev,F50_WF1_ROE1.0_bill_s3_pv_stor_ev,F100_WF0_ROE0_bill_s3_pv_stor_ev,e_tou_c_bill_s3_pv_stor_ev,e_tou_c_f_bill_s3_pv_stor_ev,annual_kwh_s3
67586,G06009704,medium,False,2178.494,0.8624372092015187,815.412568319995,995.6093999399992,815.3833659600001,804.3714769600001,543.3735885600001,1590.77627756,1307.65270796,2365.98054336,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67699,G06007510,medium,False,3117.1490000000003,0.7640705232624861,1193.5327342599978,1316.6011667899973,1193.4965920000002,1177.9875281,810.6949581000001,1852.0392033,1453.5945786999998,2510.2986424,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67702,G06001905,low,True,9426.936000000002,0.908243292944524,2546.754466997,2254.806046732001,2546.6858501630004,2515.987184243,1789.0015542230003,2010.9732056830003,1222.3757100230002,1474.725096303,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6773,G06009903,high,False,6085.129,0.8960338247617118,2385.183859610001,2336.016146739995,2385.11231,2354.8475008,1638.0942609000003,2659.4936743000003,1881.9494873,2933.3215705,1,1,0,0,0.0,137.6548456956705,137.6548456956705,3.324354803726351,2582.1145784308733,1679.056059681544,1192.7892864064227,3797.5600403184553,0.6240722325391056,0.0,0.0,0.0,1062.3084,1062.3084,2124.6168,0.0,295.15596,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67733,G06004103,high,False,4968.612,0.8624372092015187,2040.9376065600047,2039.902474199992,2040.8902248,2016.2434849,1432.9112309000002,2461.9438404,1829.1536977,2882.5506596,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6777,G06008701,low,True,6316.195,0.7640705232624861,1682.5325920845028,1516.181020632,1682.4798151199998,1661.81602444,1172.158873925,1407.6503715949998,876.4761854550001,1132.459141155,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67805,G06008515,high,False,6414.252,0.8079209467363546,2632.6902683000053,2548.604624740006,2632.6116422,2600.6172581,1842.7558201,2861.8023465,2039.6663964,3090.4135111,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67808,G06003900,low,True,8313.19,0.908243292944524,2388.617758955998,2144.334374265002,2388.5037494759995,2359.667054641,1674.4480350909998,1898.732834661,1155.5776879659998,1408.5860929310002,1,1,0,0,0.0,0.0,0.0,4.49069360510711,3542.521410605884,2283.6974302355757,1151.9794707393407,5198.173569764427,0.6252922848827498,0.0,0.0,0.0,263.4528,263.4528,526.9044,0.0,73.32864,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67833,G06001904,medium,False,6345.285,0.908243292944524,2500.160696240001,2439.61535503,2500.0745048600006,2468.1548003600005,1711.7214637600005,2730.84228866,1910.28149046,2961.05258816,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,G06008508,medium,False,5234.479000000001,0.8079209467363546,2095.4564067400024,2090.450947369998,2095.3897528,2069.1821976,1448.2761859999996,2475.1366847,1801.5788038,2854.4161204,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
